timeframe,date,open,high,low,close,volume,peak_or_valley,strength,permanent_strength
1min,2023-12-22 07:38:00+00:00,43747.8,43765.8,43732.8,43745.2,2.30875435,peak,120.0,True
1min,2023-12-22 07:39:00+00:00,43745.6,43750.1,43709.5,43733.4,5.85258191,valley,420.0,True
1min,2023-12-22 07:42:00+00:00,43748.8,43776.2,43723.2,43762.2,0.4474294,peak,360.0,True
1min,2023-12-22 07:43:00+00:00,43762.1,43762.1,43715.3,43720.7,3.29181297,valley,180.0,True
1min,2023-12-22 07:45:00+00:00,43738.5,43761.5,43727.0,43742.8,1.3543804,peak,120.0,True
1min,2023-12-22 07:46:00+00:00,43739.5,43739.5,43705.6,43735.9,1.49141821,valley,120.0,True
1min,2023-12-22 07:47:00+00:00,43736.0,43757.0,43722.3,43734.4,1.84258471,peak,120.0,True
1min,2023-12-22 07:52:00+00:00,43654.9,43654.9,43610.4,43610.4,6.66666899,valley,180.0,True
15min,2023-12-22 07:58:00+00:00,43549.1,43579.2,43544.0,43575.8,0.96553405,valley,4680.0,True
1min,2023-12-22 08:00:00+00:00,43587.2,43656.0,43566.6,43656.0,8.984746,valley,120.0,True
1min,2023-12-22 08:01:00+00:00,43655.9,43699.6,43655.9,43690.2,8.04213067,peak,420.0,True
1min,2023-12-22 08:03:00+00:00,43698.3,43699.3,43698.3,43699.2,1.41152773,peak,120.0,True
1min,2023-12-22 08:06:00+00:00,43675.9,43691.0,43671.5,43691.0,1.93458683,valley,240.0,True
1min,2023-12-22 08:08:00+00:00,43688.6,43709.0,43688.5,43709.0,4.38374071,peak,240.0,True
1min,2023-12-22 08:09:00+00:00,43709.0,43709.0,43682.7,43682.8,1.78845894,valley,180.0,True
1min,2023-12-22 08:12:00+00:00,43694.3,43762.4,43694.3,43762.3,9.40214648,peak,180.0,True
1min,2023-12-22 08:15:00+00:00,43728.0,43774.3,43719.6,43738.7,7.95389084,peak,480.0,True
1min,2023-12-22 08:18:00+00:00,43685.1,43708.3,43653.8,43695.7,17.51520429,peak,120.0,True
5min,2023-12-22 08:18:00+00:00,43685.1,43708.3,43653.8,43695.7,17.51520429,valley,1080.0,True
1min,2023-12-22 08:21:00+00:00,43678.0,43680.9,43654.7,43680.8,1.82370781,valley,180.0,True
1min,2023-12-22 08:24:00+00:00,43775.5,43778.9,43759.9,43759.9,1.98602072,peak,360.0,True
1min,2023-12-22 08:27:00+00:00,43734.8,43734.8,43691.2,43710.0,5.04497453,valley,300.0,True
15min,2023-12-22 08:31:00+00:00,43788.0,43796.0,43788.0,43791.1,1.85903239,peak,3360.0,True
1min,2023-12-22 08:33:00+00:00,43754.2,43762.8,43733.9,43760.2,1.42959232,valley,120.0,True
1min,2023-12-22 08:34:00+00:00,43760.2,43777.6,43755.7,43761.4,1.57665561,peak,120.0,True
1min,2023-12-22 08:39:00+00:00,43696.7,43700.9,43664.2,43690.2,3.73400224,valley,120.0,True
1min,2023-12-22 08:39:00+00:00,43696.7,43700.9,43664.2,43690.2,3.73400224,peak,180.0,True
1min,2023-12-22 08:43:00+00:00,43672.1,43682.1,43644.6,43644.6,3.5049655,peak,180.0,True
5min,2023-12-22 08:44:00+00:00,43645.6,43645.6,43635.0,43635.0,2.78168698,valley,660.0,True
1min,2023-12-22 08:46:00+00:00,43674.4,43674.4,43635.0,43635.1,1.1003491,valley,120.0,True
5min,2023-12-22 08:48:00+00:00,43677.1,43703.6,43677.0,43695.0,1.05020317,peak,720.0,True
1min,2023-12-22 08:53:00+00:00,43653.3,43664.5,43644.1,43644.1,4.24878818,peak,180.0,True
1min,2023-12-22 08:58:00+00:00,43605.8,43621.9,43605.7,43607.2,2.25717213,peak,120.0,True
5min,2023-12-22 08:59:00+00:00,43606.1,43608.8,43600.8,43608.8,1.71435163,valley,960.0,True
1min,2023-12-22 09:01:00+00:00,43648.3,43648.3,43609.3,43609.5,6.19902448,peak,300.0,True
1min,2023-12-22 09:03:00+00:00,43605.0,43608.7,43603.0,43607.7,0.90331442,valley,120.0,True
1min,2023-12-22 09:04:00+00:00,43607.7,43633.2,43604.5,43630.5,3.33183175,peak,120.0,True
1min,2023-12-22 09:05:00+00:00,43630.5,43632.7,43601.0,43620.1,12.99687898,valley,360.0,True
15min,2023-12-22 09:08:00+00:00,43702.9,43710.6,43672.0,43678.5,2.11974233,peak,1920.0,True
1min,2023-12-22 09:09:00+00:00,43678.5,43684.6,43660.8,43682.6,3.69714972,valley,120.0,True
1min,2023-12-22 09:10:00+00:00,43682.6,43708.1,43682.1,43695.3,3.57913284,peak,120.0,True
1min,2023-12-22 09:13:00+00:00,43643.9,43685.2,43614.3,43614.3,3.52295956,peak,120.0,True
1H,2023-12-22 09:17:00+00:00,43486.3,43519.6,43458.1,43470.2,8.27260093,valley,18360.0,True
1min,2023-12-22 09:18:00+00:00,43470.2,43531.6,43465.3,43523.8,4.26076663,peak,120.0,True
1min,2023-12-22 09:22:00+00:00,43621.6,43641.5,43618.8,43622.6,3.16136506,peak,540.0,True
1min,2023-12-22 09:26:00+00:00,43522.0,43543.1,43510.1,43536.6,3.26739987,valley,360.0,True
1min,2023-12-22 09:30:00+00:00,43603.3,43625.1,43578.0,43625.1,8.65315296,peak,180.0,True
1min,2023-12-22 09:32:00+00:00,43600.9,43623.8,43571.8,43623.8,3.17060634,valley,180.0,True
1min,2023-12-22 09:34:00+00:00,43631.5,43644.4,43631.4,43640.3,1.89675565,peak,180.0,True
1min,2023-12-22 09:35:00+00:00,43640.3,43643.5,43611.3,43623.7,0.57638285,valley,180.0,True
1min,2023-12-22 09:38:00+00:00,43644.6,43647.9,43619.2,43637.7,16.51530242,peak,120.0,True
5min,2023-12-22 09:40:00+00:00,43609.3,43649.8,43559.1,43649.8,12.92786896,valley,720.0,True
1min,2023-12-22 09:44:00+00:00,43684.3,43712.0,43684.2,43706.3,6.18765731,peak,180.0,True
1min,2023-12-22 09:45:00+00:00,43706.2,43708.9,43675.8,43706.0,3.9468354,valley,120.0,True
1min,2023-12-22 09:49:00+00:00,43739.0,43744.0,43718.2,43744.0,2.23878185,valley,120.0,True
1min,2023-12-22 09:51:00+00:00,43721.1,43744.0,43712.7,43744.0,0.7155285,valley,240.0,True
1min,2023-12-22 09:53:00+00:00,43750.0,43761.0,43749.9,43750.5,3.06860697,peak,180.0,True
1min,2023-12-22 09:54:00+00:00,43746.2,43755.1,43737.4,43746.4,0.77097459,valley,120.0,True
1min,2023-12-22 09:56:00+00:00,43743.6,43764.0,43737.5,43763.9,0.62467364,valley,120.0,True
15min,2023-12-22 09:58:00+00:00,43779.0,43784.8,43754.9,43755.0,1.16719354,peak,5160.0,True
1min,2023-12-22 10:00:00+00:00,43747.6,43751.9,43737.7,43747.1,1.76038958,valley,120.0,True
5min,2023-12-22 10:05:00+00:00,43694.2,43712.1,43690.0,43712.1,0.58306018,valley,720.0,True
1min,2023-12-22 10:10:00+00:00,43749.5,43763.7,43749.5,43757.7,0.45339391,peak,120.0,True
1min,2023-12-22 10:11:00+00:00,43757.7,43762.3,43747.4,43762.3,0.38454572,valley,120.0,True
5min,2023-12-22 10:12:00+00:00,43762.3,43763.8,43755.3,43755.3,1.15111023,peak,840.0,True
1min,2023-12-22 10:14:00+00:00,43707.1,43737.4,43707.1,43737.4,0.66859356,valley,120.0,True
1min,2023-12-22 10:15:00+00:00,43737.4,43746.5,43733.1,43733.1,0.70594399,peak,120.0,True
1min,2023-12-22 10:17:00+00:00,43690.9,43690.9,43656.7,43657.2,2.51250576,valley,240.0,True
1min,2023-12-22 10:20:00+00:00,43679.6,43679.7,43674.5,43679.7,0.72602134,peak,120.0,True
15min,2023-12-22 10:22:00+00:00,43659.2,43668.8,43655.8,43668.8,0.08364696,valley,2280.0,True
1min,2023-12-22 10:24:00+00:00,43703.8,43730.0,43703.8,43725.4,1.76998186,peak,180.0,True
1min,2023-12-22 10:26:00+00:00,43716.7,43720.3,43711.0,43720.3,0.68536051,valley,120.0,True
5min,2023-12-22 10:27:00+00:00,43720.3,43738.6,43712.4,43738.5,1.83788838,peak,720.0,True
1min,2023-12-22 10:30:00+00:00,43723.1,43734.0,43720.0,43720.0,0.77996055,peak,120.0,True
5min,2023-12-22 10:33:00+00:00,43694.3,43694.3,43668.7,43668.7,1.11349116,valley,600.0,True
1min,2023-12-22 10:36:00+00:00,43714.3,43732.1,43704.9,43704.9,1.48483797,peak,240.0,True
1min,2023-12-22 10:38:00+00:00,43697.6,43705.6,43697.6,43705.6,0.55576644,valley,180.0,True
1min,2023-12-22 10:41:00+00:00,43743.2,43743.3,43730.4,43739.0,0.55250092,peak,180.0,True
1min,2023-12-22 10:42:00+00:00,43738.9,43739.0,43725.4,43725.4,0.33955962,valley,120.0,True
15min,2023-12-22 10:46:00+00:00,43761.8,43765.8,43759.5,43765.8,1.2158051,peak,1920.0,True
1min,2023-12-22 10:48:00+00:00,43750.5,43750.5,43723.1,43739.9,1.62344435,valley,120.0,True
1min,2023-12-22 10:52:00+00:00,43719.3,43719.3,43710.4,43710.4,0.51927686,valley,120.0,True
1min,2023-12-22 10:53:00+00:00,43710.5,43727.4,43710.5,43714.7,0.41879386,peak,120.0,True
1min,2023-12-22 10:54:00+00:00,43714.7,43719.6,43705.9,43705.9,1.02269788,valley,300.0,True
1min,2023-12-22 10:57:00+00:00,43740.3,43740.8,43714.7,43714.8,0.53791757,peak,420.0,True
