timeframe,date,open,high,low,close,volume,peak_or_valley,strength,permanent_strength
5min,2023-12-22 15:14:00+00:00,43628.6,43650.0,43628.6,43645.6,0.82957712,peak,840.0,True
1min,2023-12-22 15:15:00+00:00,43645.6,43646.8,43592.8,43594.1,2.28893863,valley,240.0,True
1min,2023-12-22 15:18:00+00:00,43606.3,43628.8,43597.2,43628.8,1.30029353,valley,120.0,True
1min,2023-12-22 15:19:00+00:00,43628.8,43650.0,43628.7,43649.9,1.27436135,peak,300.0,True
15min,2023-12-22 15:23:00+00:00,43590.2,43594.1,43553.5,43554.2,2.7156874,valley,1980.0,True
1min,2023-12-22 15:27:00+00:00,43592.5,43628.8,43592.5,43622.5,2.06054157,peak,120.0,True
1min,2023-12-22 15:30:00+00:00,43635.0,43643.1,43586.9,43587.0,1.7490911,peak,360.0,True
1min,2023-12-22 15:31:00+00:00,43586.9,43587.0,43572.0,43572.0,1.05339305,valley,420.0,True
1min,2023-12-22 15:37:00+00:00,43648.3,43651.1,43629.9,43630.0,2.08355822,peak,480.0,True
1min,2023-12-22 15:38:00+00:00,43633.1,43639.0,43608.3,43625.8,2.00075336,valley,120.0,True
1min,2023-12-22 15:39:00+00:00,43625.8,43642.3,43625.8,43634.0,2.17930454,peak,120.0,True
1min,2023-12-22 15:40:00+00:00,43631.1,43631.2,43592.3,43596.6,1.97037238,valley,360.0,True
1min,2023-12-22 15:45:00+00:00,43640.0,43666.2,43635.7,43648.0,1.77595106,peak,120.0,True
1min,2023-12-22 15:48:00+00:00,43684.7,43688.7,43647.3,43657.0,3.00993142,peak,300.0,True
5min,2023-12-22 15:50:00+00:00,43617.7,43617.7,43595.2,43603.8,1.79584995,valley,600.0,True
5min,2023-12-22 15:53:00+00:00,43677.4,43696.8,43677.4,43691.0,2.63603269,peak,660.0,True
1min,2023-12-22 15:57:00+00:00,43650.4,43675.1,43637.5,43671.6,1.45269609,valley,360.0,True
1min,2023-12-22 15:58:00+00:00,43676.5,43676.5,43661.5,43661.5,0.45223509,peak,180.0,True
1min,2023-12-22 15:59:00+00:00,43657.9,43672.9,43645.0,43666.2,1.99818767,valley,120.0,True
1min,2023-12-22 16:01:00+00:00,43664.2,43672.9,43645.1,43659.9,1.53700502,valley,120.0,True
1min,2023-12-22 16:02:00+00:00,43663.7,43687.7,43663.7,43667.9,1.69793796,peak,120.0,True
5min,2023-12-22 16:04:00+00:00,43681.9,43699.0,43668.5,43668.5,1.53763774,peak,1560.0,True
5min,2023-12-22 16:05:00+00:00,43666.2,43672.9,43629.8,43629.8,0.39715978,valley,840.0,True
1min,2023-12-22 16:07:00+00:00,43664.1,43670.4,43655.6,43664.3,0.41551059,peak,120.0,True
1min,2023-12-22 16:08:00+00:00,43664.2,43668.8,43644.3,43644.4,0.58974621,valley,120.0,True
1min,2023-12-22 16:10:00+00:00,43662.3,43670.5,43655.3,43670.4,0.14095008,peak,120.0,True
1min,2023-12-22 16:12:00+00:00,43666.4,43682.7,43666.3,43673.0,0.67511048,peak,420.0,True
1min,2023-12-22 16:15:00+00:00,43646.6,43646.6,43637.9,43637.9,1.15894791,valley,540.0,True
1min,2023-12-22 16:17:00+00:00,43664.2,43670.8,43650.8,43650.8,1.26219221,peak,120.0,True
1min,2023-12-22 16:18:00+00:00,43644.7,43664.3,43644.6,43664.2,0.30466851,valley,120.0,True
1min,2023-12-22 16:21:00+00:00,43665.2,43689.6,43660.8,43683.1,1.10704694,valley,120.0,True
1min,2023-12-22 16:21:00+00:00,43665.2,43689.6,43660.8,43683.1,1.10704694,peak,180.0,True
1min,2023-12-22 16:23:00+00:00,43664.0,43672.4,43651.5,43672.3,0.84150537,valley,300.0,True
1min,2023-12-22 16:24:00+00:00,43672.3,43692.5,43658.3,43684.1,3.10627722,peak,360.0,True
1min,2023-12-22 16:27:00+00:00,43672.3,43673.9,43670.2,43670.3,0.45099624,valley,180.0,True
15min,2023-12-22 16:30:00+00:00,43681.2,43707.1,43681.2,43699.1,2.071009,peak,4320.0,True
1min,2023-12-22 16:33:00+00:00,43631.3,43631.4,43589.2,43594.3,1.11909146,valley,180.0,True
1min,2023-12-22 16:36:00+00:00,43593.2,43593.3,43581.9,43581.9,3.27627301,valley,180.0,True
1min,2023-12-22 16:38:00+00:00,43616.4,43617.6,43585.0,43585.1,1.50620756,peak,300.0,True
1min,2023-12-22 16:43:00+00:00,43544.3,43548.8,43518.2,43525.2,0.75598696,peak,120.0,True
1min,2023-12-22 16:43:00+00:00,43544.3,43548.8,43518.2,43525.2,0.75598696,valley,120.0,True
1min,2023-12-22 16:45:00+00:00,43542.8,43542.8,43500.6,43502.1,4.49347985,valley,120.0,True
1H,2023-12-22 16:48:00+00:00,43527.9,43527.9,43481.2,43481.2,0.88027305,valley,7920.0,True
1min,2023-12-22 16:48:00+00:00,43527.9,43527.9,43481.2,43481.2,0.88027305,peak,180.0,True
1min,2023-12-22 16:52:00+00:00,43552.3,43557.3,43525.4,43525.4,1.21645071,peak,180.0,True
1min,2023-12-22 16:54:00+00:00,43515.5,43515.6,43511.8,43511.8,0.15747337,valley,240.0,True
1min,2023-12-22 16:56:00+00:00,43570.5,43570.5,43550.0,43556.6,2.55139384,peak,360.0,True
1min,2023-12-22 16:57:00+00:00,43556.5,43559.4,43540.4,43559.1,0.61780078,valley,120.0,True
1min,2023-12-22 17:00:00+00:00,43555.0,43565.7,43544.5,43561.6,2.57940648,valley,180.0,True
1min,2023-12-22 17:03:00+00:00,43548.9,43578.8,43544.7,43578.8,3.03346581,valley,180.0,True
1min,2023-12-22 17:06:00+00:00,43599.3,43622.5,43599.3,43622.5,1.4689965,peak,180.0,True
1min,2023-12-22 17:08:00+00:00,43607.2,43618.2,43607.0,43618.1,1.13171153,valley,120.0,True
1min,2023-12-22 17:11:00+00:00,43622.6,43631.0,43613.8,43631.0,1.76798102,valley,180.0,True
5min,2023-12-22 17:12:00+00:00,43631.0,43649.0,43630.9,43646.6,6.62092248,peak,1500.0,True
5min,2023-12-22 17:15:00+00:00,43583.6,43603.4,43573.8,43603.2,0.67495926,valley,720.0,True
1min,2023-12-22 17:19:00+00:00,43633.1,43643.6,43629.5,43629.6,2.5687606,peak,360.0,True
1min,2023-12-22 17:20:00+00:00,43629.5,43629.6,43615.5,43629.5,1.69271511,valley,120.0,True
1min,2023-12-22 17:21:00+00:00,43627.3,43638.2,43615.7,43622.9,1.37699893,peak,120.0,True
1min,2023-12-22 17:22:00+00:00,43622.9,43622.9,43600.4,43607.9,2.67766512,valley,420.0,True
1min,2023-12-22 17:23:00+00:00,43607.9,43637.6,43607.8,43637.6,0.99148437,peak,120.0,True
1min,2023-12-22 17:25:00+00:00,43629.6,43638.5,43629.5,43629.7,0.59584492,peak,360.0,True
1min,2023-12-22 17:26:00+00:00,43629.6,43634.0,43620.8,43634.0,1.4196694,valley,180.0,True
1min,2023-12-22 17:27:00+00:00,43634.1,43638.5,43620.9,43620.9,2.36736635,peak,120.0,True
1min,2023-12-22 17:31:00+00:00,43607.5,43607.5,43594.1,43606.9,0.48769817,valley,480.0,True
1min,2023-12-22 17:32:00+00:00,43606.9,43635.5,43606.9,43619.9,1.10725991,peak,120.0,True
1min,2023-12-22 17:34:00+00:00,43630.6,43638.3,43630.6,43638.1,0.44843967,peak,120.0,True
1min,2023-12-22 17:35:00+00:00,43638.1,43638.2,43612.8,43630.0,0.59447496,valley,180.0,True
1min,2023-12-22 17:37:00+00:00,43647.2,43657.9,43642.1,43642.3,2.40602723,peak,180.0,True
5min,2023-12-22 17:39:00+00:00,43601.2,43616.6,43589.0,43616.6,0.70236161,valley,1440.0,True
5min,2023-12-22 17:45:00+00:00,43711.9,43736.0,43711.9,43724.9,2.60853551,peak,1320.0,True
1min,2023-12-22 17:50:00+00:00,43684.3,43684.4,43673.0,43673.1,0.16836916,valley,300.0,True
1min,2023-12-22 17:52:00+00:00,43693.9,43706.8,43688.6,43693.7,1.58632132,peak,240.0,True
1min,2023-12-22 17:57:00+00:00,43672.4,43675.4,43672.2,43675.3,0.94169465,valley,120.0,True
1min,2023-12-22 17:58:00+00:00,43675.4,43686.9,43675.4,43679.1,0.71106413,peak,120.0,True
1min,2023-12-22 17:59:00+00:00,43679.1,43683.1,43670.0,43683.0,1.52734783,valley,120.0,True
1min,2023-12-22 18:00:00+00:00,43683.0,43696.6,43680.8,43680.9,0.92041116,peak,120.0,True
5min,2023-12-22 18:01:00+00:00,43680.8,43680.8,43653.6,43666.5,2.1390513,valley,1260.0,True
1min,2023-12-22 18:07:00+00:00,43720.3,43746.2,43708.9,43731.0,3.17554505,peak,240.0,True
1min,2023-12-22 18:07:00+00:00,43720.3,43746.2,43708.9,43731.0,3.17554505,valley,180.0,True
1min,2023-12-22 18:09:00+00:00,43733.4,43741.7,43728.3,43737.0,1.50219056,peak,120.0,True
1min,2023-12-22 18:10:00+00:00,43737.1,43737.1,43715.5,43720.3,2.67667251,valley,120.0,True
5min,2023-12-22 18:12:00+00:00,43751.3,43759.7,43746.7,43756.3,2.49227935,peak,600.0,True
1min,2023-12-22 18:13:00+00:00,43755.8,43755.8,43737.1,43737.3,0.91877302,valley,120.0,True
1min,2023-12-22 18:16:00+00:00,43750.3,43750.4,43722.8,43744.9,0.7499147,valley,300.0,True
1min,2023-12-22 18:16:00+00:00,43750.3,43750.4,43722.8,43744.9,0.7499147,peak,180.0,True
1min,2023-12-22 18:19:00+00:00,43744.1,43744.2,43731.4,43740.2,0.56230394,valley,180.0,True
1min,2023-12-22 18:20:00+00:00,43740.2,43755.6,43737.8,43754.3,1.27512389,peak,120.0,True
1min,2023-12-22 18:25:00+00:00,43794.4,43888.0,43794.3,43874.2,9.17210331,peak,120.0,True
1min,2023-12-22 18:28:00+00:00,43917.6,43927.9,43892.5,43892.5,7.78985247,peak,360.0,True
1min,2023-12-22 18:30:00+00:00,43863.0,43874.9,43840.0,43874.8,1.14018087,valley,300.0,True
1min,2023-12-22 18:32:00+00:00,43906.6,43919.3,43894.2,43899.6,3.29577901,peak,120.0,True
1min,2023-12-22 18:34:00+00:00,43884.2,43929.0,43880.0,43929.0,5.09173439,valley,180.0,True
1min,2023-12-22 18:35:00+00:00,43927.5,43930.0,43915.8,43915.9,3.50958896,peak,480.0,True
5min,2023-12-22 18:41:00+00:00,43857.7,43870.4,43856.3,43870.1,0.87049078,valley,660.0,True
1min,2023-12-22 18:43:00+00:00,43918.6,43935.0,43918.5,43929.1,10.70133861,peak,240.0,True
1min,2023-12-22 18:45:00+00:00,43931.2,43931.2,43886.8,43891.3,3.36431608,peak,120.0,True
1min,2023-12-22 18:47:00+00:00,43870.1,43945.0,43867.3,43943.4,11.74532484,valley,360.0,True
1min,2023-12-22 18:47:00+00:00,43870.1,43945.0,43867.3,43943.4,11.74532484,peak,360.0,True
1min,2023-12-22 18:50:00+00:00,43921.3,43932.6,43889.7,43897.6,4.63856391,valley,180.0,True
1H,2023-12-22 18:54:00+00:00,43948.1,43996.8,43948.1,43993.4,4.91050439,peak,15900.0,True
1min,2023-12-22 18:56:00+00:00,43962.9,43971.5,43942.3,43971.5,0.35307963,valley,180.0,True
1min,2023-12-22 19:05:00+00:00,43842.2,43855.3,43810.0,43814.6,10.19873057,valley,180.0,True
1min,2023-12-22 19:05:00+00:00,43842.2,43855.3,43810.0,43814.6,10.19873057,peak,120.0,True
1min,2023-12-22 19:07:00+00:00,43845.2,43845.2,43819.6,43819.7,0.55903519,peak,120.0,True
1min,2023-12-22 19:10:00+00:00,43805.8,43809.6,43785.4,43793.8,3.71658166,peak,120.0,True
1min,2023-12-22 19:10:00+00:00,43805.8,43809.6,43785.4,43793.8,3.71658166,valley,240.0,True
1min,2023-12-22 19:12:00+00:00,43793.3,43806.8,43793.3,43793.7,0.43524142,peak,120.0,True
1min,2023-12-22 19:18:00+00:00,43714.7,43714.7,43669.0,43698.2,3.07949075,valley,300.0,True
1min,2023-12-22 19:20:00+00:00,43729.5,43750.3,43725.2,43750.3,1.1044576,peak,240.0,True
15min,2023-12-22 19:23:00+00:00,43677.2,43693.0,43610.0,43613.9,6.84756779,valley,6240.0,True
1min,2023-12-22 19:27:00+00:00,43657.5,43679.2,43652.0,43679.1,0.52599229,valley,120.0,True
1min,2023-12-22 19:30:00+00:00,43696.4,43718.6,43684.0,43718.6,0.71180988,peak,480.0,True
1min,2023-12-22 19:31:00+00:00,43718.5,43718.5,43676.1,43676.2,3.37740052,valley,180.0,True
1min,2023-12-22 19:33:00+00:00,43697.6,43709.1,43688.9,43689.0,4.80021338,peak,120.0,True
1min,2023-12-22 19:37:00+00:00,43703.8,43717.1,43700.7,43717.1,4.11305824,peak,360.0,True
1min,2023-12-22 19:38:00+00:00,43717.0,43717.1,43691.5,43692.5,4.90502602,valley,240.0,True
1min,2023-12-22 19:40:00+00:00,43697.3,43714.3,43697.2,43714.3,1.80227781,peak,120.0,True
1min,2023-12-22 19:49:00+00:00,43655.3,43676.2,43655.2,43676.1,0.64399752,valley,180.0,True
1min,2023-12-22 19:50:00+00:00,43676.1,43686.6,43669.1,43682.3,0.68398269,peak,240.0,True
15min,2023-12-22 19:54:00+00:00,43619.8,43637.9,43614.7,43635.9,2.87177372,valley,1860.0,True
1min,2023-12-22 19:56:00+00:00,43638.4,43656.8,43634.1,43646.4,2.37947458,peak,300.0,True
1min,2023-12-22 19:56:00+00:00,43638.4,43656.8,43634.1,43646.4,2.37947458,valley,120.0,True
1min,2023-12-22 19:59:00+00:00,43646.4,43649.2,43640.0,43644.8,0.64305463,peak,120.0,True
1min,2023-12-22 20:00:00+00:00,43644.8,43644.8,43627.7,43636.4,2.62366375,valley,360.0,True
1min,2023-12-22 20:02:00+00:00,43653.9,43670.3,43649.8,43670.2,0.95000332,peak,180.0,True
1min,2023-12-22 20:04:00+00:00,43648.6,43662.2,43648.5,43662.1,0.41256593,valley,180.0,True
1min,2023-12-22 20:07:00+00:00,43695.9,43705.0,43679.4,43679.4,1.90090383,peak,240.0,True
1min,2023-12-22 20:10:00+00:00,43693.7,43693.7,43680.3,43687.8,0.29730854,valley,120.0,True
1min,2023-12-22 20:14:00+00:00,43712.5,43718.6,43706.0,43718.5,1.16100545,valley,120.0,True
15min,2023-12-22 20:16:00+00:00,43734.2,43740.2,43734.1,43740.2,0.28727824,peak,2160.0,True
1min,2023-12-22 20:17:00+00:00,43740.2,43740.2,43727.8,43727.8,0.71517838,valley,120.0,True
1min,2023-12-22 20:23:00+00:00,43705.6,43709.0,43702.6,43706.4,0.39566342,valley,120.0,True
1min,2023-12-22 20:24:00+00:00,43709.7,43723.4,43709.7,43720.7,0.22083851,peak,240.0,True
1min,2023-12-22 20:25:00+00:00,43723.2,43723.2,43693.0,43693.0,0.29285383,valley,480.0,True
1min,2023-12-22 20:27:00+00:00,43713.1,43713.1,43705.3,43705.4,0.54455138,peak,120.0,True
5min,2023-12-22 20:30:00+00:00,43697.7,43728.4,43694.5,43710.4,2.40795388,peak,600.0,True
1min,2023-12-22 20:31:00+00:00,43704.3,43704.3,43694.1,43699.7,0.93837962,valley,120.0,True
1min,2023-12-22 20:34:00+00:00,43680.9,43680.9,43652.8,43653.1,1.33403902,valley,360.0,True
1min,2023-12-22 20:37:00+00:00,43693.7,43705.2,43690.9,43700.2,0.63121742,peak,420.0,True
1min,2023-12-22 20:38:00+00:00,43700.1,43700.1,43677.9,43691.8,0.48340883,valley,120.0,True
5min,2023-12-22 20:41:00+00:00,43647.6,43659.5,43637.8,43637.8,0.57817298,valley,1080.0,True
1min,2023-12-22 20:47:00+00:00,43711.4,43736.0,43703.1,43736.0,1.10046879,peak,240.0,True
1min,2023-12-22 20:50:00+00:00,43726.7,43730.1,43708.2,43730.0,2.62007163,valley,180.0,True
15min,2023-12-22 20:52:00+00:00,43737.0,43743.7,43721.5,43721.6,14.682629,peak,2520.0,True
1min,2023-12-22 20:56:00+00:00,43699.3,43715.7,43690.8,43708.0,6.14290234,valley,120.0,True
1min,2023-12-22 20:56:00+00:00,43699.3,43715.7,43690.8,43708.0,6.14290234,peak,180.0,True
15min,2023-12-22 20:59:00+00:00,43690.3,43692.8,43617.3,43644.0,20.80716894,valley,3900.0,True
1min,2023-12-22 21:01:00+00:00,43665.1,43680.2,43659.9,43668.7,0.14850943,peak,120.0,True
1min,2023-12-22 21:04:00+00:00,43667.9,43675.8,43660.7,43660.8,1.19909128,peak,180.0,True
1min,2023-12-22 21:05:00+00:00,43660.7,43661.4,43652.3,43661.3,0.83495418,valley,240.0,True
1min,2023-12-22 21:08:00+00:00,43673.4,43682.1,43663.3,43663.4,1.87632409,peak,300.0,True
1min,2023-12-22 21:09:00+00:00,43663.3,43663.4,43651.5,43654.8,0.55618934,valley,540.0,True
1min,2023-12-22 21:15:00+00:00,43696.6,43696.6,43696.5,43696.6,0.58830709,peak,540.0,True
1min,2023-12-22 21:16:00+00:00,43696.5,43696.5,43673.2,43692.9,0.61106157,valley,120.0,True
1min,2023-12-22 21:20:00+00:00,43663.4,43671.3,43659.0,43669.0,2.32826116,valley,420.0,True
1min,2023-12-22 21:20:00+00:00,43663.4,43671.3,43659.0,43669.0,2.32826116,peak,120.0,True
1min,2023-12-22 21:24:00+00:00,43686.6,43700.7,43686.5,43700.6,0.75332861,peak,300.0,True
1min,2023-12-22 21:25:00+00:00,43700.7,43700.7,43680.4,43680.4,0.77201773,valley,120.0,True
1min,2023-12-22 21:30:00+00:00,43703.7,43710.0,43697.1,43709.9,0.11165523,valley,180.0,True
1min,2023-12-22 21:31:00+00:00,43709.9,43714.6,43709.9,43710.2,0.15938912,peak,180.0,True
1min,2023-12-22 21:33:00+00:00,43710.3,43710.3,43699.0,43710.1,0.42847698,valley,180.0,True
15min,2023-12-22 21:35:00+00:00,43745.2,43768.8,43745.1,43764.3,3.06862889,peak,3840.0,True
1min,2023-12-22 21:37:00+00:00,43750.9,43751.0,43740.8,43740.9,0.34394512,valley,180.0,True
1min,2023-12-22 21:39:00+00:00,43741.1,43754.1,43741.0,43752.9,0.45976645,peak,180.0,True
1min,2023-12-22 21:41:00+00:00,43746.1,43746.2,43722.7,43723.0,2.43239627,valley,420.0,True
1min,2023-12-22 21:45:00+00:00,43738.9,43758.1,43738.9,43758.0,0.38778689,peak,540.0,True
1min,2023-12-22 21:50:00+00:00,43719.6,43720.0,43710.1,43710.1,1.26779646,peak,120.0,True
1min,2023-12-22 21:51:00+00:00,43710.1,43710.1,43710.0,43710.1,0.18438581,valley,300.0,True
1min,2023-12-22 21:54:00+00:00,43719.4,43732.1,43719.3,43732.0,0.59093599,peak,360.0,True
5min,2023-12-22 21:56:00+00:00,43710.2,43710.2,43704.9,43704.9,0.20510135,valley,720.0,True
1min,2023-12-22 22:00:00+00:00,43706.8,43734.0,43706.7,43718.5,1.85116744,peak,180.0,True
5min,2023-12-22 22:03:00+00:00,43725.7,43745.7,43725.7,43745.7,2.47301021,peak,1020.0,True
1min,2023-12-22 22:08:00+00:00,43706.0,43706.0,43693.1,43693.2,0.74540342,valley,240.0,True
1min,2023-12-22 22:09:00+00:00,43693.2,43707.1,43693.2,43707.1,0.93878997,peak,120.0,True
15min,2023-12-22 22:13:00+00:00,43664.5,43668.0,43664.4,43668.0,0.25270043,valley,3180.0,True
1min,2023-12-22 22:20:00+00:00,43696.2,43701.1,43696.2,43701.0,2.02761166,peak,480.0,True
5min,2023-12-22 22:25:00+00:00,43701.0,43701.0,43675.9,43676.0,0.57498752,valley,600.0,True
1min,2023-12-22 22:31:00+00:00,43712.6,43723.3,43712.6,43723.3,0.96280124,peak,180.0,True
1min,2023-12-22 22:34:00+00:00,43719.4,43725.5,43719.4,43725.3,0.27225903,peak,180.0,True
5min,2023-12-22 22:41:00+00:00,43772.8,43775.5,43772.7,43775.4,0.19262188,peak,1020.0,True
5min,2023-12-22 22:55:00+00:00,43746.8,43746.8,43740.0,43740.0,0.19640506,valley,1080.0,True
1min,2023-12-22 22:59:00+00:00,43783.1,43795.9,43783.1,43795.8,0.46455027,peak,180.0,True
1min,2023-12-22 23:00:00+00:00,43795.9,43795.9,43780.3,43780.5,0.61620819,valley,120.0,True
1min,2023-12-22 23:03:00+00:00,43807.7,43824.7,43807.7,43813.1,2.97284989,peak,120.0,True
1min,2023-12-22 23:04:00+00:00,43813.0,43813.1,43795.6,43804.1,0.96395378,valley,120.0,True
1min,2023-12-22 23:05:00+00:00,43804.1,43840.0,43795.6,43827.2,1.00351126,peak,180.0,True
1min,2023-12-22 23:07:00+00:00,43816.6,43821.8,43812.4,43821.6,1.32439887,valley,120.0,True
1min,2023-12-22 23:09:00+00:00,43852.3,43893.5,43852.2,43878.2,3.21089785,peak,120.0,True
1min,2023-12-22 23:12:00+00:00,43911.1,43956.0,43911.1,43954.1,5.37447938,peak,180.0,True
1min,2023-12-22 23:13:00+00:00,43950.8,43950.8,43908.0,43914.8,2.78089432,valley,120.0,True
1min,2023-12-22 23:16:00+00:00,43981.8,43988.0,43971.2,43986.2,3.62521715,peak,120.0,True
5min,2023-12-22 23:19:00+00:00,43990.0,44037.8,43989.9,44019.5,26.25099911,peak,960.0,True
1min,2023-12-22 23:22:00+00:00,43953.3,43953.3,43941.9,43941.9,5.0326099,valley,360.0,True
1min,2023-12-22 23:24:00+00:00,43960.2,43976.3,43960.2,43964.5,1.89042444,peak,180.0,True
5min,2023-12-22 23:28:00+00:00,43945.0,43945.0,43937.1,43940.3,1.2489942,valley,780.0,True
1min,2023-12-22 23:29:00+00:00,43940.3,43969.2,43940.3,43966.3,2.52733697,peak,120.0,True
1min,2023-12-22 23:31:00+00:00,43941.6,43981.0,43941.6,43962.7,2.44529681,valley,120.0,True
5min,2023-12-22 23:36:00+00:00,44040.7,44040.8,44019.2,44019.3,3.65361093,peak,1380.0,False
1min,2023-12-22 23:38:00+00:00,43984.0,43984.2,43961.2,43975.7,6.10046584,valley,240.0,True
1min,2023-12-22 23:40:00+00:00,43997.3,44000.0,43978.5,43978.5,2.51142182,peak,180.0,True
5min,2023-12-22 23:43:00+00:00,43961.9,43964.6,43924.0,43929.3,6.24529524,valley,960.0,False
1min,2023-12-22 23:50:00+00:00,43986.6,43991.2,43980.6,43980.6,0.6005549,peak,540.0,False
1min,2023-12-22 23:54:00+00:00,43956.6,43969.7,43946.1,43969.7,2.37030004,valley,300.0,False
1min,2023-12-22 23:55:00+00:00,43969.7,43987.8,43969.7,43987.8,1.09378106,peak,240.0,False
1min,2023-12-22 23:57:00+00:00,43983.8,43983.8,43951.9,43955.3,0.61244773,valley,120.0,False
