timeframe,date,open,high,low,close,volume,peak_or_valley,strength
1min,2017-12-30 10:01:00,13420.0,13498.25,13351.0,13489.72,20.87435685,valley,0 days 00:03:00
1min,2017-12-30 10:09:00,13530.0,13530.0,13476.44,13504.21,13.57333576,valley,0 days 00:03:00
15min,2017-12-30 10:12:00,13576.15,13576.41,13490.68,13490.73,7.49119537,peak,0 days 00:16:00
1min,2017-12-30 10:13:00,13490.73,13570.22,13476.44,13541.65,4.45091903,valley,0 days 00:02:00
5min,2017-12-30 10:15:00,13480.0,13480.0,13355.88,13400.26,22.31044622,valley,0 days 00:05:00
1min,2017-12-30 10:18:00,13445.0,13498.52,13406.07,13467.21,41.80056533,peak,0 days 00:04:00
1min,2017-12-30 10:22:00,13377.26,13433.25,13295.79,13389.59,29.31283404,valley,0 days 00:04:00
1min,2017-12-30 10:22:00,13377.26,13433.25,13295.79,13389.59,29.31283404,peak,0 days 00:03:00
1H,2017-12-30 10:26:00,13340.93,13357.01,13196.57,13290.0,136.8250157,valley,0 days 01:43:00
1min,2017-12-30 10:29:00,13299.98,13299.98,13211.26,13229.98,4.83613638,valley,0 days 00:02:00
1min,2017-12-30 10:32:00,13338.31,13340.91,13232.01,13340.52,22.19157924,valley,0 days 00:02:00
5min,2017-12-30 10:32:00,13338.31,13340.91,13232.01,13340.52,22.19157924,peak,0 days 00:06:00
1min,2017-12-30 10:36:00,13299.99,13340.66,13281.11,13320.09,9.51125178,valley,0 days 00:02:00
1min,2017-12-30 10:40:00,13389.13,13441.97,13357.31,13441.94,5.96727975,valley,0 days 00:02:00
15min,2017-12-30 10:41:00,13426.0,13442.0,13395.05,13441.99,8.28251905,peak,0 days 00:22:00
5min,2017-12-30 10:44:00,13392.59,13392.59,13320.03,13376.43,14.1269129,valley,0 days 00:07:00
5min,2017-12-30 10:47:00,13419.92,13425.05,13335.88,13403.89,9.45007777,peak,0 days 00:05:00
1min,2017-12-30 10:48:00,13393.24,13393.92,13326.56,13389.9,17.88652879,valley,0 days 00:04:00
1min,2017-12-30 10:49:00,13389.82,13410.22,13346.57,13396.4,2.8347626,peak,0 days 00:02:00
5min,2017-12-30 10:53:00,13395.66,13422.7,13324.97,13338.22,6.52335407,peak,0 days 00:06:00
5min,2017-12-30 10:54:00,13338.2,13410.03,13310.43,13328.31,3.92502028,valley,0 days 00:06:00
1min,2017-12-30 10:57:00,13379.68,13394.66,13330.0,13377.99,6.99214289,peak,0 days 00:02:00
15min,2017-12-30 11:02:00,13263.3,13299.99,13232.0,13299.99,4.82921124,valley,0 days 00:32:00
1min,2017-12-30 11:04:00,13273.68,13349.65,13240.3,13349.63,12.12270029,valley,0 days 00:02:00
1min,2017-12-30 11:08:00,13434.53,13449.65,13383.13,13383.51,3.98569272,peak,0 days 00:03:00
1min,2017-12-30 11:09:00,13383.51,13441.3,13366.86,13440.95,4.92986921,valley,0 days 00:02:00
1min,2017-12-30 11:12:00,13431.32,13496.48,13431.28,13496.48,16.58096609,peak,0 days 00:04:00
1min,2017-12-30 11:13:00,13496.48,13496.48,13421.36,13491.95,5.29174376,valley,0 days 00:02:00
1H,2017-12-30 11:18:00,13597.56,13631.92,13578.0,13578.0,22.29766584,peak,0 days 02:24:00
1min,2017-12-30 11:19:00,13599.9,13622.76,13568.02,13622.66,7.04841347,valley,0 days 00:02:00
1min,2017-12-30 11:21:00,13599.9,13610.0,13550.11,13589.81,6.36020444,valley,0 days 00:02:00
5min,2017-12-30 11:24:00,13513.15,13572.82,13464.04,13556.14,10.462819,valley,0 days 00:09:00
1min,2017-12-30 11:26:00,13555.86,13555.87,13478.19,13555.22,2.34067462,valley,0 days 00:02:00
1min,2017-12-30 11:27:00,13555.21,13563.93,13544.9,13544.9,1.71962028,peak,0 days 00:03:00
1min,2017-12-30 11:29:00,13544.9,13563.81,13503.34,13563.81,3.04908394,valley,0 days 00:03:00
5min,2017-12-30 11:31:00,13570.9,13573.73,13520.84,13558.23,4.58313426,peak,0 days 00:08:00
