timeframe,date,open,close,low,high,volume,ATR
1min,2017-10-06 01:07:00,4328.48,4328.48,4328.48,4328.48,0.0270626,5.861841472062236
1min,2017-10-06 01:08:00,4326.02,4326.02,4326.02,4330.46,0.12667351,5.760281366914905
1min,2017-10-06 01:09:00,4332.43,4326.49,4326.49,4332.43,0.09654477,5.806689840706687
1min,2017-10-06 01:10:00,4332.43,4332.43,4332.43,4332.43,0.05295412,5.81621199494196
1min,2017-10-06 01:11:00,4328.3,4330.44,4328.3,4330.44,6.73940415,5.695768281017542
1min,2017-10-06 01:12:00,4330.52,4330.54,4330.52,4330.54,17.730258,5.296070546659172
1min,2017-10-06 01:13:00,4333.05,4330.57,4330.57,4333.05,1.92622658,5.097065507612105
1min,2017-10-06 01:14:00,4331.99,4332.0,4331.99,4332.0,0.06748425,4.835132257068404
1min,2017-10-06 01:15:00,4332.0,4330.85,4330.85,4334.38,37.87336226,4.7419085244206425
1min,2017-10-06 01:16:00,4332.87,4332.88,4332.87,4332.88,12.28513889,4.548200772676293
1min,2017-10-06 01:17:00,4331.08,4334.38,4330.89,4334.38,1.21494608,4.472615003199399
1min,2017-10-06 01:18:00,4331.2,4330.57,4330.57,4331.2,1.00023305,4.425285360113756
1min,2017-10-06 01:19:00,4330.57,4330.54,4330.54,4330.57,2.34169267,4.111336405819898
1min,2017-10-06 01:20:00,4330.69,4326.62,4326.62,4330.7,2.391,4.109098091118471
1min,2017-10-06 01:21:00,4330.71,4330.71,4327.42,4330.71,0.33405551,4.107733941752877
1min,2017-10-06 01:22:00,4334.18,4333.02,4333.01,4334.18,0.49490524,4.062181517341975
1min,2017-10-06 01:23:00,4333.01,4327.39,4327.39,4333.02,2.2830016,4.174168551817556
1min,2017-10-06 01:24:00,4327.39,4325.0,4325.0,4327.39,3.68387672,4.046727940973468
1min,2017-10-06 01:25:00,4327.89,4327.94,4325.03,4327.94,0.93045687,3.9676759451896197
1min,2017-10-06 01:26:00,4331.8,4331.81,4331.8,4331.81,0.18054747,3.960699091961847
1min,2017-10-06 01:27:00,4329.93,4329.93,4329.93,4329.93,0.01176874,3.8120777282502942
1min,2017-10-06 01:28:00,4325.1,4325.09,4325.09,4325.1,0.03,3.885500747660998
1min,2017-10-06 01:29:00,4325.01,4325.01,4325.01,4325.01,0.0208765,3.613679265685207
1min,2017-10-06 01:30:00,4325.01,4325.01,4325.01,4325.01,0.0,3.355559318136264
1min,2017-10-06 01:31:00,4325.01,4325.01,4325.01,4325.01,0.0,3.1158765096979595
1min,2017-10-06 01:32:00,4325.01,4330.18,4325.01,4330.18,2.53011402,3.2625996161481106
1min,2017-10-06 01:33:00,4334.36,4334.36,4334.36,4334.36,1.0,3.32812821499463
1min,2017-10-06 01:34:00,4334.32,4326.27,4326.15,4334.32,0.22834448,3.676833342495016
1min,2017-10-06 01:35:00,4325.08,4325.01,4325.01,4329.98,1.71778738,3.769202389459611
1min,2017-10-06 01:36:00,4325.01,4329.99,4325.01,4329.99,2.16577116,3.8556879330696074
1min,2017-10-06 01:37:00,4325.01,4325.05,4325.01,4325.05,3.08442,3.9359959378503184
1min,2017-10-06 01:38:00,4325.06,4325.01,4325.0,4325.07,1.62248287,3.6598533708609895
