,cash,fund_shares,fund_value,BTCUSDT_value,BTCUSDT_position_size,BTCUSDT_position_price,BTCUSDT_position_price_orig,BTCUSDT_position_upclosed,BTCUSDT_position_upopened,BTCUSDT_position_adjbase,BTCUSDT_position_updt
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:17:00+00:00,101826.7383966778,5000000.0,0.02004291218199358,100214.5609099679,-0.034990742944235986,46771.53092772232,46771.53092772232,0.0759103763912588,0.0,,
2024-01-09 21:25:00+00:00,100233.9492806333,5000000.0,0.02004678985612666,100233.9492806333,4.163336342344337e-17,45520.30000000001,46771.53092772232,0.034990742944235986,4.163336342344337e-17,,
2024-01-09 21:25:00+00:00,100233.9492806333,5000000.0,0.02004678985612666,100233.9492806333,4.163336342344337e-17,45520.30000000001,46771.53092772232,0.034990742944235986,4.163336342344337e-17,,
