timeframe,date,open,close,high,low,volume
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:38:00,29530.0,29534.85,29534.85,29529.99,4.16793
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:39:00,29534.84,29534.02,29536.0,29534.01,20.32712
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
