timeframe,date,level,internal_margin,external_margin,activation_time,ttl,deactivated_at,archived_at,hit,is_overlap_of
1H,2023-08-04 13:50:00,29328.3,29265.3,29338.337204725864,2023-08-04 13:50:00,2023-08-09 21:50:00,,,0,
4H,2023-08-04 20:45:00,28800.5,28969.8,28769.572962385162,2023-08-04 20:45:00,2023-08-26 04:45:00,,,0,
1H,2023-08-05 12:50:00,28983.4,28997.4,28978.461211614434,2023-08-05 12:50:00,2023-08-10 20:50:00,,,0,
1H,2023-08-05 18:56:00,29100.0,29077.4,29101.032038608413,2023-08-05 18:56:00,2023-08-11 02:56:00,,,0,
1H,2023-08-06 02:00:00,29037.2,29038.119736209454,29036.280263790548,2023-08-06 02:00:00,2023-08-11 10:00:00,,,0,
1H,2023-08-06 08:49:00,29137.8,29111.0,29140.413299528966,2023-08-06 08:49:00,2023-08-11 16:49:00,,,0,
1H,2023-08-06 14:14:00,28992.4,28998.7,28990.379308128664,2023-08-06 14:14:00,2023-08-11 22:14:00,,,0,
1H,2023-08-07 00:36:00,29021.8,29067.6,29019.431027154016,2023-08-07 00:36:00,2023-08-12 08:36:00,,,0,
1H,2023-08-07 02:52:00,29227.5,29196.9,29230.94963223791,2023-08-07 02:52:00,2023-08-12 10:52:00,,,0,
4H,2023-08-07 16:15:00,28701.5,28862.3,28649.2473245587,2023-08-07 16:15:00,2023-08-29 00:15:00,,,0,
1H,2023-08-07 21:30:00,29278.2,29264.841441619512,29291.55855838049,2023-08-07 21:30:00,2023-08-13 05:30:00,,,0,
1D,2023-08-08 21:21:00,30228.7,29882.4,30310.5850946618,2023-08-08 21:21:00,2023-11-02 05:21:00,,,0,
1H,2023-08-09 02:50:00,29651.6,29691.5,29638.05359708557,2023-08-09 02:50:00,2023-08-14 10:50:00,,,0,
1H,2023-08-09 13:00:00,30135.8,30072.7,30159.823225462984,2023-08-09 13:00:00,2023-08-14 21:00:00,,,0,
1H,2023-08-09 20:07:00,29380.5,29417.8,29365.88223288782,2023-08-09 20:07:00,2023-08-15 04:07:00,,,0,
1H,2023-08-10 01:45:00,29659.0,29650.7,29665.517349716698,2023-08-10 01:45:00,2023-08-15 09:45:00,,,0,
1H,2023-08-10 14:01:00,29737.8,29677.7,29751.8665136186,2023-08-10 14:01:00,2023-08-15 22:01:00,,,0,
1H,2023-08-10 17:32:00,29339.7,29401.9,29333.937864118747,2023-08-10 17:32:00,2023-08-16 01:32:00,,,0,
1H,2023-08-11 00:44:00,29500.5,29498.5,29501.855967748477,2023-08-11 00:44:00,2023-08-16 08:44:00,,,0,
1H,2023-08-11 02:57:00,29350.0,29372.4,29348.017432747347,2023-08-11 02:57:00,2023-08-16 10:57:00,,,0,
1H,2023-08-11 14:12:00,29565.4,29513.2,29571.386231383716,2023-08-11 14:12:00,2023-08-16 22:12:00,,,0,
4H,2023-08-11 16:44:00,29252.3,29360.0,29223.615893291826,2023-08-11 16:44:00,2023-09-02 00:44:00,,,0,
1H,2023-08-12 01:00:00,29460.0,29454.9,29461.61451016421,2023-08-12 01:00:00,2023-08-17 09:00:00,,,0,
1H,2023-08-12 03:35:00,29379.7,29382.3,29379.301487663564,2023-08-12 03:35:00,2023-08-17 11:35:00,,,0,
1H,2023-08-12 16:31:00,29480.4,29474.0,29481.603849118623,2023-08-12 16:31:00,2023-08-18 00:31:00,,,0,
1H,2023-08-13 02:05:00,29453.2,29452.78487643071,29453.615123569292,2023-08-13 02:05:00,2023-08-18 10:05:00,,,0,
1H,2023-08-13 05:18:00,29364.8,29379.7,29364.151562444564,2023-08-13 05:18:00,2023-08-18 13:18:00,,,0,
1H,2023-08-13 19:49:00,29472.5,29450.0,29473.686256972476,2023-08-13 19:49:00,2023-08-19 03:49:00,,,0,
1H,2023-08-14 02:21:00,29100.5,29170.6,29083.400029879765,2023-08-14 02:21:00,2023-08-19 10:21:00,,,0,
4H,2023-08-14 16:50:00,29692.6,29651.4,29729.198821847865,2023-08-14 16:50:00,2023-09-05 00:50:00,,,0,
1H,2023-08-14 18:08:00,29254.3,29329.2,29242.096458818698,2023-08-14 18:08:00,2023-08-20 02:08:00,,,0,
1H,2023-08-15 15:03:00,29500.0,29453.1,29505.740200496602,2023-08-15 15:03:00,2023-08-20 23:03:00,,,0,
1H,2023-08-15 19:11:00,29079.7,29164.9,29077.702378609858,2023-08-15 19:11:00,2023-08-21 03:11:00,,,0,
1H,2023-08-16 18:31:00,29234.1,29218.4,29244.15942514703,2023-08-16 18:31:00,2023-08-22 02:31:00,,,0,
1H,2023-08-17 00:45:00,28312.2,28451.8,28267.680081703733,2023-08-17 00:45:00,2023-08-22 08:45:00,,,0,
1D,2023-08-17 21:45:00,25000.0,26624.3,24912.62992251706,2023-08-17 21:45:00,2023-11-11 05:45:00,,,0,
1H,2023-08-18 17:07:00,25620.9,25753.6,25581.77095431418,2023-08-18 17:07:00,2023-08-24 01:07:00,,,0,
1H,2023-08-19 07:02:00,25802.1,25815.7,25789.961834702302,2023-08-19 07:02:00,2023-08-24 15:02:00,,,0,
1H,2023-08-19 16:59:00,26275.9,26253.9,26290.946719001106,2023-08-19 16:59:00,2023-08-25 00:59:00,,,0,
1H,2023-08-20 06:16:00,26048.3,26076.7,26043.256036410006,2023-08-20 06:16:00,2023-08-25 14:16:00,,,0,
1H,2023-08-20 15:08:00,25978.9,26064.3,25967.30144676361,2023-08-20 15:08:00,2023-08-25 23:08:00,,,0,
4H,2023-08-20 20:45:00,26298.0,26231.1,26311.577152983777,2023-08-20 20:45:00,2023-09-11 04:45:00,,,0,
1H,2023-08-21 15:28:00,25812.5,25871.8,25798.41092223255,2023-08-21 15:28:00,2023-08-26 23:28:00,,,0,
1H,2023-08-21 21:33:00,26261.3,26198.0,26266.89641656056,2023-08-21 21:33:00,2023-08-27 05:33:00,,,0,
1H,2023-08-22 05:25:00,26001.0,26029.1,25997.621551747594,2023-08-22 05:25:00,2023-08-27 13:25:00,,,0,
4H,2023-08-22 21:27:00,25350.0,25667.2,25316.12810075918,2023-08-22 21:27:00,2023-09-13 05:27:00,,,0,
1H,2023-08-23 00:15:00,26185.0,26163.5,26204.989570822516,2023-08-23 00:15:00,2023-08-28 08:15:00,,,0,
1H,2023-08-23 13:16:00,25816.3,25832.5,25807.940604122792,2023-08-23 13:16:00,2023-08-28 21:16:00,,,0,
4H,2023-08-23 19:47:00,26813.9,26633.1,26859.400412370964,2023-08-23 19:47:00,2023-09-14 03:47:00,,,0,
1H,2023-08-24 09:09:00,26580.9,26547.9,26589.066633955004,2023-08-24 09:09:00,2023-08-29 17:09:00,,,0,
1H,2023-08-24 17:38:00,25867.0,25993.2,25856.432265414667,2023-08-24 17:38:00,2023-08-30 01:38:00,,,0,
1H,2023-08-24 23:48:00,26207.0,26180.0,26212.097305292467,2023-08-24 23:48:00,2023-08-30 07:48:00,,,0,
1H,2023-08-25 14:16:00,26307.7,26106.4,26342.239190050237,2023-08-25 14:16:00,2023-08-30 22:16:00,,,0,
4H,2023-08-25 14:56:00,25780.2,25832.0,25745.523651363368,2023-08-25 14:56:00,2023-09-15 22:56:00,,,0,
1H,2023-08-26 02:16:00,26120.2,26076.3,26122.028821317897,2023-08-26 02:16:00,2023-08-31 10:16:00,,,0,
1H,2023-08-26 12:42:00,25984.9,25997.6,25983.327838620837,2023-08-26 12:42:00,2023-08-31 20:42:00,,,0,
1H,2023-08-27 01:38:00,25963.7,25980.1,25961.643590295706,2023-08-27 01:38:00,2023-09-01 09:38:00,,,0,
1H,2023-08-27 14:37:00,26179.6,26159.2,26189.402468116597,2023-08-27 14:37:00,2023-09-01 22:37:00,,,0,
4H,2023-08-28 09:19:00,25865.7,25933.8,25848.089568123727,2023-08-28 09:19:00,2023-09-18 17:19:00,,,0,
1H,2023-08-28 12:26:00,26250.5,26168.2,26264.169366669717,2023-08-28 12:26:00,2023-09-02 20:26:00,,,0,
1H,2023-08-28 19:24:00,25921.0,25976.4,25916.60762621687,2023-08-28 19:24:00,2023-09-03 03:24:00,,,0,
1H,2023-08-29 01:18:00,26204.1,26128.9,26209.952072103704,2023-08-29 01:18:00,2023-09-03 09:18:00,,,0,
1H,2023-08-29 10:38:00,25923.7,25962.8,25920.264719026694,2023-08-29 10:38:00,2023-09-03 18:38:00,,,0,
4H,2023-08-29 16:27:00,28148.8,27998.5,28273.7780171908,2023-08-29 16:27:00,2023-09-20 00:27:00,,,0,
1H,2023-08-30 03:25:00,27284.1,27337.6,27273.196546833966,2023-08-30 03:25:00,2023-09-04 11:25:00,,,0,
1H,2023-08-30 14:50:00,27018.0,27111.3,26985.013508220476,2023-08-30 14:50:00,2023-09-04 22:50:00,,,0,
1H,2023-08-31 11:42:00,27578.8,27464.0,27591.40812465916,2023-08-31 11:42:00,2023-09-05 19:42:00,,,0,
1H,2023-08-31 21:09:00,25668.2,25871.1,25637.922771784622,2023-08-31 21:09:00,2023-09-06 05:09:00,,,0,
1H,2023-09-01 12:18:00,26155.8,26084.1,26163.096846489098,2023-09-01 12:18:00,2023-09-06 20:18:00,,,0,
1D,2023-09-01 17:42:00,25334.8,25640.4,25254.816652188856,2023-09-01 17:42:00,2023-11-26 01:42:00,,,0,
1H,2023-09-02 06:39:00,25864.5,25812.4,25868.002297032108,2023-09-02 06:39:00,2023-09-07 14:39:00,,,0,
1H,2023-09-02 15:41:00,25985.7,25946.7,25996.954746475083,2023-09-02 15:41:00,2023-09-07 23:41:00,,,0,
1H,2023-09-02 18:28:00,25766.1,25773.191994283185,25759.008005716812,2023-09-02 18:28:00,2023-09-08 02:28:00,,,0,
1H,2023-09-03 12:36:00,26086.8,26033.6,26090.262974293186,2023-09-03 12:36:00,2023-09-08 20:36:00,,,0,
1H,2023-09-03 16:39:00,25802.1,25833.8,25795.532003963282,2023-09-03 16:39:00,2023-09-09 00:39:00,,,0,
4H,2023-09-03 20:51:00,26130.6,26047.9,26159.463799810263,2023-09-03 20:51:00,2023-09-25 04:51:00,,,0,
1H,2023-09-05 03:09:00,25562.5,25630.1,25551.673502172634,2023-09-05 03:09:00,2023-09-10 11:09:00,,,0,
1H,2023-09-05 14:35:00,25627.1,25676.4,25614.336963966078,2023-09-05 14:35:00,2023-09-10 22:35:00,,,0,
1H,2023-09-05 15:18:00,25908.6,25825.4,25924.880918838837,2023-09-05 15:18:00,2023-09-10 23:18:00,,,0,
1H,2023-09-06 03:01:00,25865.4,25851.3,25870.683495140456,2023-09-06 03:01:00,2023-09-11 11:01:00,,,0,
4H,2023-09-06 17:05:00,25400.0,25594.5,25365.93962407497,2023-09-06 17:05:00,2023-09-28 01:05:00,,,0,
4H,2023-09-06 17:56:00,26035.8,25858.9,26069.86037592503,2023-09-06 17:56:00,2023-09-28 01:56:00,,,0,
1H,2023-09-07 04:01:00,25848.9,25838.3,25854.831164547457,2023-09-07 04:01:00,2023-09-12 12:01:00,,,0,
1H,2023-09-07 14:01:00,25615.3,25644.8,25599.804403138434,2023-09-07 14:01:00,2023-09-12 22:01:00,,,0,
1H,2023-09-07 18:03:00,25974.5,25930.0,25992.26323536386,2023-09-07 18:03:00,2023-09-13 02:03:00,,,0,
