timeframe,date,level,internal_margin,external_margin,activation_time,ttl,deactivated_at,archived_at,hit,is_overlap_of
1H,2023-09-05 03:09:00,25562.5,25810.0,25507.152893147668,2023-09-05 03:09:00,2023-09-10 11:09:00,,,0,
1H,2023-09-05 14:35:00,25627.1,25758.6,25589.746029074035,2023-09-05 14:35:00,2023-09-10 22:35:00,,,0,
1H,2023-09-05 15:18:00,25908.6,25777.0,25945.953970925962,2023-09-05 15:18:00,2023-09-10 23:18:00,,,0,
1H,2023-09-06 03:01:00,25865.4,25804.3,25898.63397726438,2023-09-06 03:01:00,2023-09-11 11:01:00,,,0,
4H,2023-09-06 17:05:00,25400.0,25792.4,25317.40654517196,2023-09-06 17:05:00,2023-09-28 01:05:00,,,0,
1H,2023-09-06 17:56:00,26035.8,25590.1,26087.08859316308,2023-09-06 17:56:00,2023-09-12 01:56:00,,,0,
1H,2023-09-07 04:01:00,25848.9,25811.601210507815,25886.198789492188,2023-09-07 04:01:00,2023-09-12 12:01:00,,,0,
1H,2023-09-07 14:01:00,25615.3,25707.3,25595.11736309077,2023-09-07 14:01:00,2023-09-12 22:01:00,,,0,
4H,2023-09-08 00:58:00,26446.8,26297.461639366793,26596.138360633206,2023-09-08 00:58:00,2023-09-29 08:58:00,,,0,
1H,2023-09-08 10:06:00,25645.3,26211.5,25594.944590514173,2023-09-08 10:06:00,2023-09-13 18:06:00,,,0,
1H,2023-09-08 23:13:00,25934.1,25886.59045576612,25981.609544233877,2023-09-08 23:13:00,2023-09-14 07:13:00,,,0,
1H,2023-09-09 13:41:00,25802.0,25859.9,25789.176307303736,2023-09-09 13:41:00,2023-09-14 21:41:00,,,0,
1H,2023-09-09 16:33:00,25942.9,25902.5,25964.427246853593,2023-09-09 16:33:00,2023-09-15 00:33:00,,,0,
1H,2023-09-10 04:22:00,25749.1,25854.5,25733.183702488375,2023-09-10 04:22:00,2023-09-15 12:22:00,,,0,
1H,2023-09-10 19:40:00,25566.8,25773.8,25541.872873925862,2023-09-10 19:40:00,2023-09-16 03:40:00,,,0,
1H,2023-09-10 22:33:00,26032.3,25838.1,26084.86108780574,2023-09-10 22:33:00,2023-09-16 06:33:00,,,0,
1D,2023-09-11 20:01:00,24901.7,25738.3,24729.687785920745,2023-09-11 20:01:00,2023-12-06 04:01:00,,,0,
1H,2023-09-12 16:30:00,26532.0,26205.8,26627.859356434867,2023-09-12 16:30:00,2023-09-18 00:30:00,,,0,
1H,2023-09-13 00:07:00,25764.6,25845.468152471276,25683.73184752872,2023-09-13 00:07:00,2023-09-18 08:07:00,,,0,
1H,2023-09-13 16:30:00,26406.3,26264.3,26498.851621104615,2023-09-13 16:30:00,2023-09-19 00:30:00,,,0,
1H,2023-09-14 01:05:00,26546.4,26220.8,26591.23890217348,2023-09-14 01:05:00,2023-09-19 09:05:00,,,0,
1H,2023-09-14 18:36:00,26855.7,26690.1,26947.838604425386,2023-09-14 18:36:00,2023-09-20 02:36:00,,,0,
1H,2023-09-15 01:07:00,26452.4,26506.49257609731,26398.307423902694,2023-09-15 01:07:00,2023-09-20 09:07:00,,,0,
1H,2023-09-15 09:00:00,26690.0,26568.7,26719.36644162027,2023-09-15 09:00:00,2023-09-20 17:00:00,,,0,
1H,2023-09-15 14:48:00,26219.4,26423.3,26169.515839874202,2023-09-15 14:48:00,2023-09-20 22:48:00,,,0,
4H,2023-09-15 23:07:00,26885.9,26521.7,27036.798606547098,2023-09-15 23:07:00,2023-10-07 07:07:00,,,0,
1H,2023-09-16 10:05:00,26441.8,26477.38189210714,26406.21810789286,2023-09-16 10:05:00,2023-09-21 18:05:00,,,0,
1H,2023-09-16 17:43:00,26619.7,26520.9,26646.736357635185,2023-09-16 17:43:00,2023-09-22 01:43:00,,,0,
1H,2023-09-17 01:11:00,26426.0,26511.7,26400.330879118337,2023-09-17 01:11:00,2023-09-22 09:11:00,,,0,
1H,2023-09-17 11:45:00,26619.3,26517.4,26638.463185986933,2023-09-17 11:45:00,2023-09-22 19:45:00,,,0,
4H,2023-09-18 00:31:00,26372.1,26467.6,26304.99114379824,2023-09-18 00:31:00,2023-10-09 08:31:00,,,0,
1H,2023-09-18 12:59:00,27408.1,27193.5,27490.648204959853,2023-09-18 12:59:00,2023-09-23 20:59:00,,,0,
1H,2023-09-18 18:41:00,26630.4,27268.6,26552.011269202085,2023-09-18 18:41:00,2023-09-24 02:41:00,,,0,
4H,2023-09-19 15:54:00,27484.9,26764.2,27639.225042484526,2023-09-19 15:54:00,2023-10-10 23:54:00,,,0,
1H,2023-09-20 02:01:00,27391.0,27243.8,27457.763705963025,2023-09-20 02:01:00,2023-09-25 10:01:00,,,0,
1H,2023-09-20 06:04:00,26940.1,27107.5,26876.17407320534,2023-09-20 06:04:00,2023-09-25 14:04:00,,,0,
1H,2023-09-20 18:34:00,27310.3,27182.2,27371.446402976246,2023-09-20 18:34:00,2023-09-26 02:34:00,,,0,
1H,2023-09-20 19:19:00,26787.8,27180.5,26726.653597023753,2023-09-20 19:19:00,2023-09-26 03:19:00,,,0,
4H,2023-09-21 14:01:00,26374.9,27047.8,26224.575562813327,2023-09-21 14:01:00,2023-10-12 22:01:00,,,0,
1H,2023-09-22 00:27:00,26470.3,26552.5,26431.47648232684,2023-09-22 00:27:00,2023-09-27 08:27:00,,,0,
1H,2023-09-22 08:10:00,26745.8,26703.54874793934,26788.051252060657,2023-09-22 08:10:00,2023-09-27 16:10:00,,,0,
1H,2023-09-22 21:13:00,26482.6,26538.6,26441.238775799084,2023-09-22 21:13:00,2023-09-28 05:13:00,,,0,
1H,2023-09-23 18:30:00,26633.7,26582.0,26648.21034292826,2023-09-23 18:30:00,2023-09-29 02:30:00,,,0,
1H,2023-09-24 07:01:00,26548.1,26569.1,26538.873931458253,2023-09-24 07:01:00,2023-09-29 15:01:00,,,0,
4H,2023-09-24 18:05:00,26738.2,26575.0,26775.745364909046,2023-09-24 18:05:00,2023-10-16 02:05:00,,,0,
4H,2023-09-25 00:23:00,26000.0,26248.8,25895.675861460277,2023-09-25 00:23:00,2023-10-16 08:23:00,,,0,
4H,2023-09-25 12:22:00,26000.0,26248.8,25895.675861460277,2023-09-25 12:22:00,2023-10-16 20:22:00,,,0,
1H,2023-09-25 20:16:00,26448.3,26388.883146274562,26507.716853725437,2023-09-25 20:16:00,2023-10-01 04:16:00,,,0,
1H,2023-09-26 15:47:00,26092.3,26262.3,26057.856818163946,2023-09-26 15:47:00,2023-10-01 23:47:00,,,0,
1H,2023-09-27 12:02:00,26849.0,26775.1,26912.291787001977,2023-09-27 12:02:00,2023-10-02 20:02:00,,,0,
1H,2023-09-27 18:07:00,26114.0,26286.4,26026.365719237514,2023-09-27 18:07:00,2023-10-03 02:07:00,,,0,
1H,2023-09-28 00:30:00,26556.2,26417.7,26600.502434993366,2023-09-28 00:30:00,2023-10-03 08:30:00,,,0,
4H,2023-09-28 16:26:00,27305.9,26443.6,27425.41007949418,2023-09-28 16:26:00,2023-10-20 00:26:00,,,0,
1H,2023-09-29 07:39:00,27243.1,26957.2,27305.737824918375,2023-09-29 07:39:00,2023-10-04 15:39:00,,,0,
1H,2023-09-29 14:09:00,26672.5,26927.1,26621.39550485783,2023-09-29 14:09:00,2023-10-04 22:09:00,,,0,
1H,2023-09-30 13:12:00,26907.5,26934.9,26890.37483356018,2023-09-30 13:12:00,2023-10-05 21:12:00,,,0,
1H,2023-09-30 15:46:00,27092.0,26944.7,27109.12516643982,2023-09-30 15:46:00,2023-10-05 23:46:00,,,0,
1H,2023-10-01 10:11:00,27287.0,27109.3,27308.54305465181,2023-10-01 10:11:00,2023-10-06 18:11:00,,,0,
1H,2023-10-01 20:04:00,27038.1,27103.2,27003.248658634966,2023-10-01 20:04:00,2023-10-07 04:04:00,,,0,
1D,2023-10-02 14:00:00,28574.0,28130.2,28826.75608877219,2023-10-02 14:00:00,2023-12-26 22:00:00,,,0,
1H,2023-10-02 21:55:00,27275.9,27862.2,27141.892877325565,2023-10-02 21:55:00,2023-10-08 05:55:00,,,0,
1H,2023-10-03 06:50:00,27671.7,27600.1,27742.50941205967,2023-10-03 06:50:00,2023-10-08 14:50:00,,,0,
1H,2023-10-03 20:06:00,27164.7,27274.1,27086.339957120308,2023-10-03 20:06:00,2023-10-09 04:06:00,,,0,
1H,2023-10-04 10:00:00,27640.1,27450.2,27677.980925872333,2023-10-04 10:00:00,2023-10-09 18:00:00,,,0,
1H,2023-10-04 14:48:00,27333.1,27549.5,27288.55527450409,2023-10-04 14:48:00,2023-10-09 22:48:00,,,0,
1H,2023-10-05 00:48:00,27891.6,27781.5,27954.418865506996,2023-10-05 00:48:00,2023-10-10 08:48:00,,,0,
4H,2023-10-05 14:21:00,28116.8,27812.8,28251.10841429814,2023-10-05 14:21:00,2023-10-26 22:21:00,,,0,
1H,2023-10-05 17:20:00,27355.0,27486.7,27240.402467048098,2023-10-05 17:20:00,2023-10-11 01:20:00,,,0,
4H,2023-10-06 13:00:00,27176.1,27408.2,27046.369630927395,2023-10-06 13:00:00,2023-10-27 21:00:00,,,0,
1H,2023-10-06 15:50:00,28039.8,27758.9,28089.30826189511,2023-10-06 15:50:00,2023-10-11 23:50:00,,,0,
