timeframe,date,open,close,high,low,volume
5min,2023-10-23 16:30:00,30808.3,30836.1,30844.9,30786.2,13.65886766
1min,2023-10-23 16:31:00,30841.6,30809.0,30841.6,30807.8,2.68344085
1min,2023-10-23 16:32:00,30809.5,30825.4,30825.4,30786.2,4.53771517
1min,2023-10-23 16:33:00,30826.5,30844.2,30844.9,30826.4,2.4894126
1min,2023-10-23 16:34:00,30844.3,30836.1,30844.4,30824.0,2.1922852
1min,2023-10-23 16:35:00,30839.2,30818.2,30840.4,30814.3,1.10812791
5min,2023-10-23 16:35:00,30839.2,30992.0,30992.0,30809.9,28.08756749
1min,2023-10-23 16:36:00,30815.6,30855.9,30855.9,30809.9,4.38390676
1min,2023-10-23 16:37:00,30856.0,30934.4,30934.4,30856.0,8.84948806
1min,2023-10-23 16:38:00,30932.6,30983.2,30989.9,30932.6,8.40713848
1min,2023-10-23 16:39:00,30985.5,30992.0,30992.0,30967.7,5.33890628
1min,2023-10-23 16:40:00,30992.5,30914.6,31039.0,30884.1,57.48118858
5min,2023-10-23 16:40:00,30992.5,31020.4,31090.0,30884.1,120.21913273
1min,2023-10-23 16:41:00,30910.6,30954.7,30966.0,30910.6,21.92657996
1min,2023-10-23 16:42:00,30953.2,30987.7,30987.7,30935.6,5.85726413
1min,2023-10-23 16:43:00,30988.7,31053.8,31090.0,30976.8,23.79985606
1min,2023-10-23 16:44:00,31056.6,31020.4,31078.4,31008.0,11.154244
15min,2023-10-23 16:45:00,31020.3,31218.1,31290.0,30970.0,142.61078784
1min,2023-10-23 16:45:00,31020.3,30985.4,31062.3,30970.0,7.87088093
5min,2023-10-23 16:45:00,31020.3,31123.5,31128.0,30970.0,43.54262226
1min,2023-10-23 16:46:00,30991.0,31039.9,31065.8,30987.9,4.39133951
1min,2023-10-23 16:47:00,31040.1,31064.8,31128.0,31040.1,22.60082371
1min,2023-10-23 16:48:00,31070.0,31072.9,31097.0,31059.2,1.77472068
1min,2023-10-23 16:49:00,31079.1,31123.5,31124.0,31065.2,6.90485743
1min,2023-10-23 16:50:00,31122.1,31111.9,31122.1,31074.2,4.52883052
5min,2023-10-23 16:50:00,31122.1,31194.6,31206.9,31074.2,34.18517249
1min,2023-10-23 16:51:00,31110.6,31125.4,31125.4,31076.1,2.89949808
1min,2023-10-23 16:52:00,31125.4,31155.0,31155.0,31122.1,7.27518332
1min,2023-10-23 16:53:00,31154.9,31182.1,31194.4,31150.4,7.79034612
1min,2023-10-23 16:54:00,31183.4,31194.6,31206.9,31154.2,11.69131445
1min,2023-10-23 16:55:00,31195.7,31251.6,31273.0,31170.3,21.53748083
5min,2023-10-23 16:55:00,31195.7,31218.1,31290.0,31170.3,64.88299309
1min,2023-10-23 16:56:00,31245.6,31236.3,31254.3,31210.9,12.13162705
1min,2023-10-23 16:57:00,31234.8,31270.0,31290.0,31224.9,8.59694662
1min,2023-10-23 16:58:00,31273.5,31265.1,31277.7,31235.6,7.84731613
1min,2023-10-23 16:59:00,31265.2,31218.1,31278.2,31190.6,14.76962246
15min,2023-10-23 17:00:00,31214.2,31173.0,31312.9,31077.4,91.44312704000001
1H,2023-10-23 17:00:00,31214.2,30977.0,31312.9,30827.3,397.49287304
1min,2023-10-23 17:00:00,31214.2,31174.2,31236.3,31163.0,5.87589795
5min,2023-10-23 17:00:00,31214.2,31153.6,31236.3,31077.4,40.95282354
1min,2023-10-23 17:01:00,31183.7,31159.4,31183.7,31147.5,10.46662164
1min,2023-10-23 17:02:00,31159.4,31128.3,31159.4,31124.2,8.30374321
1min,2023-10-23 17:03:00,31132.1,31108.4,31141.1,31108.4,6.21986282
1min,2023-10-23 17:04:00,31108.3,31153.6,31153.6,31077.4,10.08669792
1min,2023-10-23 17:05:00,31154.1,31255.2,31255.3,31154.1,10.33518226
5min,2023-10-23 17:05:00,31154.1,31268.9,31312.9,31154.1,35.69578213
1min,2023-10-23 17:06:00,31244.3,31225.1,31267.9,31221.4,3.94009723
1min,2023-10-23 17:07:00,31225.2,31285.6,31297.2,31225.1,5.22620563
1min,2023-10-23 17:08:00,31290.5,31241.5,31312.9,31237.6,13.18763472
1min,2023-10-23 17:09:00,31242.3,31268.9,31280.6,31242.3,3.00666229
1min,2023-10-23 17:10:00,31260.0,31249.4,31265.7,31236.5,2.81699887
5min,2023-10-23 17:10:00,31260.0,31173.0,31265.7,31167.0,14.79452137
1min,2023-10-23 17:11:00,31249.4,31183.6,31250.1,31181.9,3.31596529
