date,open,high,low,close,volume
2023-09-02 01:30:00,25799.58,25803.03,25792.25,25792.25,5.83112
2023-09-02 01:31:00,25792.26,25792.26,25789.04,25789.04,5.9212
2023-09-02 01:32:00,25789.04,25796.73,25789.04,25793.14,9.81543
2023-09-02 01:33:00,25793.14,25793.15,25793.14,25793.14,6.45134
2023-09-02 01:34:00,25793.14,25793.15,25793.14,25793.15,2.82445
2023-09-02 01:35:00,25793.15,25796.72,25793.14,25796.72,4.26495
2023-09-02 01:36:00,25796.72,25803.5,25796.71,25803.5,3.59338
2023-09-02 01:37:00,25803.5,25803.5,25803.49,25803.5,1.64373
2023-09-02 01:38:00,25803.5,25808.62,25803.49,25808.62,4.98838
2023-09-02 01:39:00,25808.61,25811.02,25808.61,25811.02,3.1086
2023-09-02 01:40:00,25811.01,25812.07,25811.01,25812.07,6.57341
2023-09-02 01:41:00,25812.06,25815.55,25812.06,25815.54,5.35946
2023-09-02 01:42:00,25815.54,25815.55,25810.01,25810.02,21.82806
2023-09-02 01:43:00,25810.01,25810.02,25807.67,25807.67,5.33702
2023-09-02 01:44:00,25807.68,25807.68,25801.82,25801.82,3.86698
2023-09-02 01:45:00,25801.82,25801.83,25801.1,25801.83,8.29553
2023-09-02 01:46:00,25801.82,25801.83,25781.91,25782.19,30.68189
2023-09-02 01:47:00,25782.19,25782.19,25781.91,25781.91,22.70268
2023-09-02 01:48:00,25781.91,25781.92,25779.98,25781.91,13.88864
2023-09-02 01:49:00,25781.91,25788.15,25780.99,25780.99,9.53279
2023-09-02 01:50:00,25781.0,25783.64,25780.99,25783.63,7.59886
2023-09-02 01:51:00,25783.63,25788.14,25783.63,25788.14,4.42237
2023-09-02 01:52:00,25788.14,25788.14,25785.81,25785.82,4.83123
2023-09-02 01:53:00,25785.81,25785.82,25785.81,25785.81,2.68031
2023-09-02 01:54:00,25785.81,25785.82,25780.99,25781.0,2.90577
2023-09-02 01:55:00,25781.0,25781.0,25778.0,25778.01,3.20763
2023-09-02 01:56:00,25778.0,25779.85,25778.0,25779.84,3.37143
2023-09-02 01:57:00,25779.84,25779.85,25777.27,25777.28,3.3251
2023-09-02 01:58:00,25777.27,25777.28,25776.12,25776.12,4.68542
2023-09-02 01:59:00,25776.12,25776.13,25773.67,25773.68,3.92196
2023-09-02 02:00:00,25773.68,25776.49,25768.39,25776.49,21.42694
2023-09-02 02:01:00,25776.48,25779.84,25776.48,25779.84,5.48102
2023-09-02 02:02:00,25779.84,25779.84,25779.83,25779.83,2.23948
2023-09-02 02:03:00,25779.83,25788.69,25779.83,25788.69,5.50181
2023-09-02 02:04:00,25788.69,25788.92,25788.68,25788.91,2.20338
2023-09-02 02:05:00,25788.92,25788.92,25788.91,25788.91,2.06425
2023-09-02 02:06:00,25788.92,25788.92,25784.83,25784.83,12.02911
2023-09-02 02:07:00,25784.83,25784.84,25777.24,25777.25,6.11883
2023-09-02 02:08:00,25777.24,25777.25,25766.28,25774.92,21.9432
2023-09-02 02:09:00,25774.92,25774.93,25774.92,25774.93,3.51493
2023-09-02 02:10:00,25774.92,25780.0,25774.92,25780.0,11.14089
2023-09-02 02:11:00,25779.99,25784.84,25773.29,25774.92,25.57129
2023-09-02 02:12:00,25774.93,25776.39,25774.92,25776.39,2.31996
2023-09-02 02:13:00,25776.38,25778.53,25776.38,25778.53,4.38455
2023-09-02 02:14:00,25778.52,25779.83,25778.52,25779.83,5.61242
2023-09-02 02:15:00,25779.82,25779.83,25772.92,25779.82,12.86511
2023-09-02 02:16:00,25779.83,25781.22,25779.82,25781.21,2.38612
2023-09-02 02:17:00,25781.21,25781.22,25778.42,25778.43,5.19265
2023-09-02 02:18:00,25778.42,25778.43,25778.42,25778.42,2.66782
2023-09-02 02:19:00,25778.42,25778.43,25778.42,25778.42,2.58618
2023-09-02 02:20:00,25778.43,25778.43,25768.65,25768.65,8.06504
2023-09-02 02:21:00,25768.66,25768.66,25768.0,25768.01,13.58096
2023-09-02 02:22:00,25768.01,25770.22,25768.0,25770.21,12.70962
2023-09-02 02:23:00,25770.21,25770.22,25770.21,25770.21,2.6328
2023-09-02 02:24:00,25770.22,25771.24,25768.95,25771.23,7.65731
2023-09-02 02:25:00,25771.24,25778.43,25771.23,25778.43,8.13485
2023-09-02 02:26:00,25778.43,25784.77,25777.12,25784.76,7.85696
2023-09-02 02:27:00,25784.77,25789.94,25784.76,25789.93,6.05997
2023-09-02 02:28:00,25789.94,25792.5,25789.93,25792.49,3.88572
2023-09-02 02:29:00,25792.5,25795.69,25792.49,25795.69,3.93161
2023-09-02 02:30:00,25795.69,25795.87,25794.83,25794.83,5.12978
2023-09-02 02:31:00,25794.84,25794.84,25786.66,25786.66,8.12487
2023-09-02 02:32:00,25786.66,25786.67,25786.66,25786.67,2.07372
2023-09-02 02:33:00,25786.67,25786.67,25781.31,25781.73,8.91242
2023-09-02 02:34:00,25781.73,25781.74,25780.0,25780.01,2.9421
2023-09-02 02:35:00,25780.01,25780.01,25774.41,25774.42,5.25074
2023-09-02 02:36:00,25774.41,25774.42,25772.32,25772.33,3.74524
2023-09-02 02:37:00,25772.33,25773.36,25769.01,25773.35,4.54543
2023-09-02 02:38:00,25773.36,25773.36,25771.42,25771.43,2.7014
2023-09-02 02:39:00,25771.42,25774.35,25771.42,25774.34,2.68286
2023-09-02 02:40:00,25774.35,25774.35,25774.34,25774.34,2.95844
2023-09-02 02:41:00,25774.35,25774.64,25774.34,25774.63,3.3157
2023-09-02 02:42:00,25774.63,25774.65,25774.63,25774.64,2.41514
2023-09-02 02:43:00,25774.64,25780.79,25774.64,25780.79,13.0468
2023-09-02 02:44:00,25780.78,25785.66,25780.78,25785.66,13.50943
2023-09-02 02:45:00,25785.66,25793.68,25785.65,25793.67,16.60232
2023-09-02 02:46:00,25793.68,25793.68,25793.67,25793.68,1.88865
2023-09-02 02:47:00,25793.68,25794.72,25793.67,25794.72,3.51939
2023-09-02 02:48:00,25794.72,25794.72,25786.37,25786.38,31.1653
2023-09-02 02:49:00,25786.37,25786.38,25784.5,25784.51,3.86511
2023-09-02 02:50:00,25784.51,25785.88,25784.5,25785.87,4.2187
2023-09-02 02:51:00,25785.88,25785.88,25784.55,25784.56,8.82842
2023-09-02 02:52:00,25784.55,25784.56,25776.72,25776.72,3.02293
2023-09-02 02:53:00,25776.72,25776.73,25754.84,25759.81,49.82888
2023-09-02 02:54:00,25759.81,25765.01,25754.85,25757.3,33.06108
2023-09-02 02:55:00,25757.29,25758.59,25752.47,25755.38,13.74415
2023-09-02 02:56:00,25755.38,25761.92,25755.37,25761.91,8.67736
2023-09-02 02:57:00,25761.91,25761.92,25761.91,25761.91,2.55767
2023-09-02 02:58:00,25761.92,25761.92,25761.91,25761.91,1.66833
2023-09-02 02:59:00,25761.91,25761.92,25761.91,25761.91,2.24045
2023-09-02 03:00:00,25761.91,25773.47,25761.91,25773.47,7.97213
2023-09-02 03:01:00,25773.46,25775.85,25773.46,25775.84,6.87386
2023-09-02 03:02:00,25775.85,25779.9,25775.84,25779.89,13.05106
2023-09-02 03:03:00,25779.9,25779.91,25779.89,25779.91,8.76711
2023-09-02 03:04:00,25779.91,25781.38,25779.9,25781.38,2.48772
2023-09-02 03:05:00,25781.38,25791.08,25781.37,25791.07,12.2274
2023-09-02 03:06:00,25791.08,25791.08,25767.34,25768.39,34.74461
2023-09-02 03:07:00,25768.38,25768.39,25768.38,25768.39,6.22888
2023-09-02 03:08:00,25768.39,25768.39,25768.38,25768.39,4.53113
2023-09-02 03:09:00,25768.39,25775.6,25768.38,25775.59,12.11774
2023-09-02 03:10:00,25775.6,25780.47,25775.59,25780.47,6.94517
2023-09-02 03:11:00,25780.46,25780.47,25780.46,25780.47,5.51385
2023-09-02 03:12:00,25780.47,25780.47,25769.16,25769.17,9.63579
2023-09-02 03:13:00,25769.17,25771.1,25769.16,25771.1,4.12555
2023-09-02 03:14:00,25771.09,25775.63,25771.09,25775.63,8.84913
2023-09-02 03:15:00,25775.63,25777.57,25775.62,25777.56,3.12365
2023-09-02 03:16:00,25777.56,25777.57,25777.56,25777.57,2.03255
2023-09-02 03:17:00,25777.56,25777.57,25777.56,25777.57,2.30163
2023-09-02 03:18:00,25777.56,25777.57,25777.56,25777.57,1.66311
2023-09-02 03:19:00,25777.57,25777.57,25759.46,25759.99,46.29395
2023-09-02 03:20:00,25759.99,25768.67,25759.99,25759.99,34.10526
2023-09-02 03:21:00,25760.0,25760.0,25758.8,25758.8,8.56544
2023-09-02 03:22:00,25758.81,25764.75,25757.57,25764.75,27.79487
2023-09-02 03:23:00,25764.74,25766.77,25764.74,25766.77,11.75838
2023-09-02 03:24:00,25766.76,25770.76,25766.65,25766.66,7.22141
2023-09-02 03:25:00,25766.66,25770.0,25766.65,25769.99,4.7724
2023-09-02 03:26:00,25770.0,25772.42,25769.99,25772.41,9.98856
2023-09-02 03:27:00,25772.42,25772.42,25771.7,25771.71,5.80216
2023-09-02 03:28:00,25771.71,25771.71,25771.7,25771.71,3.00743
2023-09-02 03:29:00,25771.71,25771.71,25767.11,25768.37,7.88618
2023-09-02 03:30:00,25768.37,25768.38,25767.01,25767.01,5.49934
2023-09-02 03:31:00,25767.01,25770.0,25765.59,25769.99,8.72528
2023-09-02 03:32:00,25770.0,25770.0,25769.99,25770.0,1.55961
2023-09-02 03:33:00,25769.99,25772.24,25769.99,25772.23,3.14385
2023-09-02 03:34:00,25772.24,25779.97,25772.23,25779.96,8.28945
2023-09-02 03:35:00,25779.96,25779.97,25779.96,25779.97,7.04666
2023-09-02 03:36:00,25779.97,25779.97,25779.79,25779.8,10.09082
2023-09-02 03:37:00,25779.79,25781.73,25779.79,25781.73,12.19151
2023-09-02 03:38:00,25781.72,25785.58,25781.72,25785.57,10.20613
2023-09-02 03:39:00,25785.58,25790.48,25785.57,25790.47,4.56949
2023-09-02 03:40:00,25790.47,25794.13,25790.47,25790.76,15.05734
2023-09-02 03:41:00,25790.76,25791.83,25790.06,25791.82,5.54437
2023-09-02 03:42:00,25791.83,25792.42,25791.82,25792.42,8.53242
2023-09-02 03:43:00,25792.41,25793.82,25792.41,25792.41,9.76404
2023-09-02 03:44:00,25792.41,25798.07,25786.47,25796.22,22.11516
2023-09-02 03:45:00,25796.21,25796.47,25796.21,25796.46,9.4603
2023-09-02 03:46:00,25796.46,25799.15,25796.46,25796.79,8.56492
2023-09-02 03:47:00,25796.79,25796.8,25796.46,25796.47,3.81144
2023-09-02 03:48:00,25796.47,25798.88,25796.46,25798.87,5.5757
2023-09-02 03:49:00,25798.87,25798.88,25798.87,25798.88,2.80332
2023-09-02 03:50:00,25798.88,25798.88,25798.87,25798.88,4.01029
2023-09-02 03:51:00,25798.88,25798.88,25798.87,25798.88,3.83543
2023-09-02 03:52:00,25798.88,25804.59,25798.87,25804.36,10.75937
2023-09-02 03:53:00,25804.36,25808.36,25804.36,25808.36,10.22546
2023-09-02 03:54:00,25808.36,25811.23,25808.35,25811.23,8.27874
2023-09-02 03:55:00,25811.22,25811.23,25798.39,25798.39,11.0545
2023-09-02 03:56:00,25798.39,25798.4,25798.39,25798.39,5.17796
2023-09-02 03:57:00,25798.39,25798.4,25797.45,25797.45,5.39667
2023-09-02 03:58:00,25797.46,25803.35,25797.45,25803.35,12.47831
2023-09-02 03:59:00,25803.34,25803.35,25798.07,25798.08,8.22453
2023-09-02 04:00:00,25798.07,25804.4,25798.07,25804.39,5.50372
2023-09-02 04:01:00,25804.39,25804.4,25804.39,25804.39,1.75871
2023-09-02 04:02:00,25804.39,25804.4,25801.09,25801.09,11.56776
2023-09-02 04:03:00,25801.09,25801.1,25795.36,25795.37,4.13023
2023-09-02 04:04:00,25795.36,25795.37,25795.36,25795.37,2.8467
2023-09-02 04:05:00,25795.37,25795.37,25795.36,25795.36,5.49009
2023-09-02 04:06:00,25795.37,25795.37,25795.36,25795.37,5.90075
2023-09-02 04:07:00,25795.37,25795.37,25795.36,25795.36,2.08653
2023-09-02 04:08:00,25795.37,25795.37,25790.21,25790.57,11.96356
2023-09-02 04:09:00,25790.57,25795.37,25789.31,25795.37,8.56774
2023-09-02 04:10:00,25795.37,25804.0,25793.43,25804.0,8.22084
2023-09-02 04:11:00,25803.99,25805.05,25803.99,25805.04,4.85871
2023-09-02 04:12:00,25805.05,25805.05,25801.92,25801.93,11.64006
2023-09-02 04:13:00,25801.92,25801.93,25799.37,25800.66,2.55298
2023-09-02 04:14:00,25800.66,25805.04,25800.65,25805.03,6.99257
2023-09-02 04:15:00,25805.03,25805.04,25805.03,25805.03,2.08775
2023-09-02 04:16:00,25805.03,25805.04,25803.04,25804.25,6.29837
2023-09-02 04:17:00,25804.25,25804.26,25804.25,25804.25,5.09049
2023-09-02 04:18:00,25804.26,25804.26,25795.01,25795.02,10.8484
2023-09-02 04:19:00,25795.02,25795.02,25787.64,25791.38,21.02015
2023-09-02 04:20:00,25791.39,25791.39,25788.12,25788.12,8.57862
2023-09-02 04:21:00,25788.13,25793.86,25788.12,25792.83,14.75361
2023-09-02 04:22:00,25792.83,25794.62,25792.82,25794.62,2.75006
2023-09-02 04:23:00,25794.61,25794.62,25794.61,25794.62,2.98532
2023-09-02 04:24:00,25794.62,25794.62,25792.33,25792.33,4.19935
2023-09-02 04:25:00,25792.34,25792.34,25782.37,25789.35,14.05634
2023-09-02 04:26:00,25789.34,25789.35,25772.07,25772.84,26.70816
2023-09-02 04:27:00,25772.84,25775.67,25770.91,25775.67,19.57734
2023-09-02 04:28:00,25775.67,25778.75,25770.04,25770.04,11.77365
2023-09-02 04:29:00,25770.05,25770.05,25768.4,25768.41,4.92209
2023-09-02 04:30:00,25768.4,25768.41,25768.4,25768.41,3.18545
2023-09-02 04:31:00,25768.4,25772.29,25768.4,25768.4,8.70725
2023-09-02 04:32:00,25768.41,25768.41,25768.4,25768.4,3.54459
2023-09-02 04:33:00,25768.4,25768.41,25768.4,25768.41,1.40881
2023-09-02 04:34:00,25768.41,25768.41,25768.4,25768.41,1.97379
2023-09-02 04:35:00,25768.41,25768.41,25768.4,25768.4,1.98759
2023-09-02 04:36:00,25768.4,25769.22,25768.4,25769.22,5.17468
2023-09-02 04:37:00,25769.21,25776.14,25769.21,25776.14,11.32027
2023-09-02 04:38:00,25776.14,25776.14,25776.13,25776.14,2.97904
2023-09-02 04:39:00,25776.13,25776.14,25771.2,25771.21,8.6693
2023-09-02 04:40:00,25771.2,25771.21,25768.41,25768.42,3.52042
2023-09-02 04:41:00,25768.42,25768.42,25767.02,25767.03,2.3303
2023-09-02 04:42:00,25767.02,25767.03,25766.75,25766.76,1.39214
2023-09-02 04:43:00,25766.75,25774.79,25766.75,25774.79,6.69594
2023-09-02 04:44:00,25774.79,25774.79,25774.78,25774.78,4.67313
2023-09-02 04:45:00,25774.78,25774.79,25774.78,25774.78,2.07926
2023-09-02 04:46:00,25774.79,25774.79,25774.78,25774.78,4.90504
2023-09-02 04:47:00,25774.79,25774.79,25769.69,25769.69,7.95277
2023-09-02 04:48:00,25769.69,25769.94,25769.69,25769.94,5.09788
2023-09-02 04:49:00,25769.93,25776.82,25769.93,25776.81,6.36431
2023-09-02 04:50:00,25776.81,25776.82,25773.22,25773.22,4.92007
2023-09-02 04:51:00,25773.22,25773.23,25771.51,25771.51,3.17566
2023-09-02 04:52:00,25771.51,25777.29,25768.27,25777.28,10.73916
2023-09-02 04:53:00,25777.29,25777.29,25777.28,25777.28,0.90037
2023-09-02 04:54:00,25777.29,25777.29,25777.28,25777.28,2.35086
2023-09-02 04:55:00,25777.29,25777.29,25766.75,25766.75,11.72349
2023-09-02 04:56:00,25766.75,25766.76,25766.75,25766.75,1.99314
2023-09-02 04:57:00,25766.75,25774.9,25766.75,25774.89,9.81192
2023-09-02 04:58:00,25774.89,25774.9,25774.89,25774.89,7.48782
2023-09-02 04:59:00,25774.9,25779.72,25774.89,25779.72,8.21477
2023-09-02 05:00:00,25779.72,25793.09,25779.71,25793.08,14.44286
