date,ref_date,ref_timeframe,side,original_index,end,limit_price,stop_loss,take_profit,trigger_price,trigger_satisfied,stop_loss_order_id,take_profit_order_id,order_is_active,updated,original_order_id,base_asset_amount
2024-01-09 21:17:00+00:00,2024-01-09 17:15:00+00:00,15min,buy,"(Timestamp('2024-01-09 19:32:00+0000', tz='UTC'), Timestamp('2024-01-09 17:15:00+0000', tz='UTC'), '15min', 'buy')",2024-01-09 21:15:00+00:00,46920.5343,46788.8,47510,46909,FALSE,Sell>-0.0759@46788.80Ref35Stop,Sell>-0.0759@47510.00Ref36Limit,FALSE,TRUE,,
2024-01-10 11:59:00+00:00,2024-01-10 10:00:00+00:00,1h,buy,2024-01-10 11:59:00+00:00,2024-01-10 11:59:00+00:00,45709.36431,45528.2,46474.4,45685.9,FALSE,Sell>-0.0552@45528.20Ref53Stop,Sell>-0.0552@46474.40Ref54Limit,FALSE,TRUE,,
2024-01-10 16:01:00+00:00,2024-01-10 10:00:00+00:00,1h,buy,"(Timestamp('2024-01-10 11:59:00+0000', tz='UTC'), Timestamp('2024-01-10 10:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-10 11:59:00+00:00,45709.36431,45528.2,46474.4,45685.9,FALSE,Sell>-0.0552@45528.20Ref53Stop,Sell>-0.0552@46474.40Ref54Limit,FALSE,TRUE,,
2024-01-10 17:35:00+00:00,2024-01-10 04:00:00+00:00,4h,buy,2024-01-10 17:35:00+00:00,2024-01-10 17:35:00+00:00,46230.22655,45732.6,48424.8,46181.3,FALSE,Sell>-0.0201@45732.60Ref56Stop,Sell>-0.0201@48424.80Ref57Limit,FALSE,TRUE,,
2024-01-10 17:35:00+00:00,2024-01-10 08:00:00+00:00,15min,buy,2024-01-10 17:35:00+00:00,2024-01-10 17:35:00+00:00,45868.05258,45760,46360,45860,FALSE,Sell>-0.0925@45760.00Ref59Stop,Sell>-0.0925@46360.00Ref60Limit,FALSE,TRUE,,
2024-01-10 17:41:00+00:00,2024-01-09 23:45:00+00:00,15min,buy,2024-01-10 17:41:00+00:00,2024-01-10 20:10:00+00:00,46180.07048,46000.2,46954.8,46159.3,FALSE,Sell>-0.0556@46000.20Ref62Stop,Sell>-0.0556@46954.80Ref63Limit,FALSE,TRUE,,
2024-01-10 18:09:00+00:00,2024-01-09 23:45:00+00:00,15min,sell,2024-01-10 18:09:00+00:00,2024-01-10 20:10:00+00:00,45979.42952,46159.3,45204.7,46000.2,FALSE,Buy<0.0556@46159.30Ref65Stop,Buy<0.0556@45204.70Ref66Limit,FALSE,TRUE,,
2024-01-10 20:10:00+00:00,2024-01-10 04:00:00+00:00,4h,buy,"(Timestamp('2024-01-10 17:35:00+0000', tz='UTC'), Timestamp('2024-01-10 04:00:00+0000', tz='UTC'), '4h', 'buy')",2024-01-10 17:35:00+00:00,46230.22655,45732.6,48424.8,46181.3,FALSE,Sell>-0.0201@45732.60Ref56Stop,Sell>-0.0201@48424.80Ref57Limit,FALSE,TRUE,,
2024-01-10 20:10:00+00:00,2024-01-10 08:00:00+00:00,15min,sell,2024-01-10 20:10:00+00:00,2024-01-10 20:10:00+00:00,45751.94742,45860,45260,45760,FALSE,Buy<0.0925@45860.00Ref68Stop,Buy<0.0925@45260.00Ref69Limit,FALSE,TRUE,,
2024-01-10 20:10:00+00:00,2024-01-10 10:00:00+00:00,1h,sell,2024-01-10 20:10:00+00:00,2024-01-10 20:10:00+00:00,45504.73569,45685.9,44739.7,45528.2,FALSE,Buy<0.0552@45685.90Ref71Stop,Buy<0.0552@44739.70Ref72Limit,FALSE,TRUE,,
2024-01-10 20:12:00+00:00,2024-01-09 23:45:00+00:00,15min,buy,"(Timestamp('2024-01-10 17:41:00+0000', tz='UTC'), Timestamp('2024-01-09 23:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-10 20:10:00+00:00,46180.07048,46000.2,46954.8,46159.3,FALSE,Sell>-0.0556@46000.20Ref62Stop,Sell>-0.0556@46954.80Ref63Limit,FALSE,TRUE,,
2024-01-10 20:13:00+00:00,2024-01-10 10:00:00+00:00,1h,sell,"(Timestamp('2024-01-10 20:10:00+0000', tz='UTC'), Timestamp('2024-01-10 10:00:00+0000', tz='UTC'), '1h', 'sell')",2024-01-10 20:10:00+00:00,45504.73569,45685.9,44739.7,45528.2,FALSE,Buy<0.0552@45685.90Ref71Stop,Buy<0.0552@44739.70Ref72Limit,FALSE,TRUE,,
2024-01-10 20:42:00+00:00,2024-01-09 23:45:00+00:00,15min,sell,"(Timestamp('2024-01-10 18:09:00+0000', tz='UTC'), Timestamp('2024-01-09 23:45:00+0000', tz='UTC'), '15min', 'sell')",2024-01-10 20:10:00+00:00,45979.42952,46159.3,45204.7,46000.2,FALSE,Buy<0.0556@46159.30Ref65Stop,Buy<0.0556@45204.70Ref66Limit,FALSE,TRUE,,
