timeframe,date,bull_bear_side,end,internal_high,high_time,internal_low,low_time,movement,atr,movement_start_value,movement_end_value,movement_start_time,movement_end_time
1min,2023-11-16 03:02:00+00:00,BEARISH_TREND,2023-11-16 03:06:00+00:00,37537.9,2023-11-16 03:02:00+00:00,37476.9,2023-11-16 03:05:00+00:00,61.0,14.353385891050056,37537.9,37476.9,2023-11-16 03:02:00+00:00,2023-11-16 03:05:00+00:00
5min,2023-11-16 03:05:00+00:00,BEARISH_TREND,2023-11-16 03:55:00+00:00,37537.9,2023-11-16 03:10:00+00:00,37325.0,2023-11-16 03:45:00+00:00,212.90000000000146,57.803577105956734,37537.9,37325.0,2023-11-16 03:02:00+00:00,2023-11-16 04:26:00+00:00
1min,2023-11-16 03:06:00+00:00,SIDE_TREND,2023-11-16 03:12:00+00:00,37513.9,2023-11-16 03:11:00+00:00,37477.0,2023-11-16 03:07:00+00:00,36.900000000001455,13.070744433168935,,,,
1min,2023-11-16 03:12:00+00:00,BEARISH_TREND,2023-11-16 03:26:00+00:00,37530.1,2023-11-16 03:12:00+00:00,37394.6,2023-11-16 03:25:00+00:00,135.5,14.89481759357993,37530.1,37394.6,2023-11-16 03:12:00+00:00,2023-11-16 03:30:00+00:00
1min,2023-11-16 03:26:00+00:00,SIDE_TREND,2023-11-16 03:30:00+00:00,37422.0,2023-11-16 03:26:00+00:00,37395.7,2023-11-16 03:29:00+00:00,26.30000000000291,13.343370054257692,,,,
1min,2023-11-16 03:30:00+00:00,BULLISH_TREND,2023-11-16 03:36:00+00:00,37468.6,2023-11-16 03:35:00+00:00,37394.6,2023-11-16 03:30:00+00:00,74.0,13.276746498729565,37394.6,37468.6,2023-11-16 03:30:00+00:00,2023-11-16 03:35:00+00:00
1min,2023-11-16 03:36:00+00:00,SIDE_TREND,2023-11-16 03:41:00+00:00,37457.3,2023-11-16 03:39:00+00:00,37430.3,2023-11-16 03:37:00+00:00,27.0,13.53004677535029,,,,
1min,2023-11-16 03:41:00+00:00,BEARISH_TREND,2023-11-16 03:42:00+00:00,37468.6,2023-11-16 03:41:00+00:00,37381.5,2023-11-16 03:41:00+00:00,87.09999999999854,12.673889926457855,37468.6,37381.5,2023-11-16 03:35:00+00:00,2023-11-16 03:48:00+00:00
1min,2023-11-16 03:42:00+00:00,SIDE_TREND,2023-11-16 03:49:00+00:00,37455.7,2023-11-16 03:42:00+00:00,37381.5,2023-11-16 03:48:00+00:00,74.19999999999709,12.524406751357391,,,,
1min,2023-11-16 03:49:00+00:00,BULLISH_TREND,2023-11-16 03:55:00+00:00,37451.1,2023-11-16 03:54:00+00:00,37381.5,2023-11-16 03:50:00+00:00,69.59999999999854,12.441039637974244,37381.5,37451.1,2023-11-16 03:48:00+00:00,2023-11-16 03:59:00+00:00
1min,2023-11-16 03:55:00+00:00,SIDE_TREND,2023-11-16 03:57:00+00:00,37458.1,2023-11-16 03:55:00+00:00,37439.5,2023-11-16 03:56:00+00:00,18.599999999998545,12.32340323170503,,,,
5min,2023-11-16 03:55:00+00:00,SIDE_TREND,2023-11-16 04:30:00+00:00,37458.1,2023-11-16 03:55:00+00:00,37325.0,2023-11-16 04:25:00+00:00,133.09999999999854,49.12794900125929,,,,
1min,2023-11-16 03:57:00+00:00,BEARISH_TREND,2023-11-16 04:13:00+00:00,37458.1,2023-11-16 03:59:00+00:00,37352.4,2023-11-16 04:12:00+00:00,105.69999999999709,10.203058848514452,37458.1,37352.4,2023-11-16 03:55:00+00:00,2023-11-16 04:12:00+00:00
